Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Roman to Integer,100.0,0.006679181027225749,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Spiral Matrix,86.1,0.005707358438957462,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Merge Intervals,86.1,0.005211648246868195,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,86.1,0.00645936665741236,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Merge Sorted Array,86.1,0.005509616515070354,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,75.2,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Subarray Sum Equals K,75.2,0.0047566457256946835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,LRU Cache,75.2,0.004754602161061486,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,75.2,0.006069299717462612,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,75.2,0.003930094864287979,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Middle of the Linked List,75.2,0.008201257835117454,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Move Zeroes,75.2,0.006398868556106705,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
