Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Sum Equals K,100.0,0.0047566457256946835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Two Sum,86.0,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,86.0,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Move Zeroes,86.0,0.006398868556106705,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Consecutive Numbers,86.0,0.004862823558985688,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,String Compression,86.0,0.0060211670916561965,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Koko Eating Bananas,74.9,0.005015276723394978,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Next Permutation,74.9,0.004551812893420343,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Perfect Squares,74.9,0.005664033370680433,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
HARD,Largest Rectangle in Histogram,74.9,0.005018768605872296,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Merge Two Sorted Lists,74.9,0.00684520705546117,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
