Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Replace the Substring for Balanced String,100.0,0.004104898788471668,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
EASY,Two Sum,83.8,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,78.6,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Gas Station,78.6,0.004819454024862979,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Longest Palindromic Substring,71.9,0.003804632163910021,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Asteroid Collision,71.9,0.004821273052317636,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Climbing Stairs,62.4,0.005415744002285826,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,62.4,0.006890493640870878,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
MEDIUM,Remove Duplicates from Sorted Array II,62.4,0.006485643753489876,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,62.4,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,62.4,0.007279875792801981,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Add Two Numbers,62.4,0.00487011851609498,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Minimum Jumps to Reach Home,62.4,0.0030879926409290827,https://leetcode.com/problems/minimum-jumps-to-reach-home,"Array, Hash Table, Breadth-First Search"
HARD,Create Maximum Number,62.4,0.00357406922131065,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Maximum Subarray,62.4,0.0053473657554388675,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
