Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Group Anagrams,91.6,0.007279875792801981,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,89.1,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,89.1,0.005211648246868195,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Window Substring,83.1,0.004780045141183194,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,83.1,0.00645936665741236,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Integer to Roman,79.5,0.007117947821668864,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Next Permutation,79.5,0.004551812893420343,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Jump Game,79.5,0.0041065097120021226,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Add Two Numbers,75.3,0.00487011851609498,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,75.3,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,75.3,0.004684493665886855,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Longest Common Prefix,75.3,0.004778143430317111,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Trapping Rain Water,75.3,0.0067615049366153155,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,75.3,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,75.3,0.004754602161061486,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Product Subarray,75.3,0.003657021233786526,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Majority Element,75.3,0.006637443189666331,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Validate IP Address,75.3,0.0028365913761700225,https://leetcode.com/problems/validate-ip-address,String
EASY,Sort Array by Increasing Frequency,75.3,0.008088673672329755,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
MEDIUM,Longest Palindromic Substring,70.4,0.003804632163910021,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,70.4,0.004436541346273699,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Spiral Matrix,70.4,0.005707358438957462,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Top K Frequent Elements,70.4,0.0066704563155819884,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Minimum Processing Time,70.4,0.007048432008033961,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Top K Frequent Words,70.4,0.006029201614010294,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,String to Integer (atoi),64.5,0.002118412873217458,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Roman to Integer,64.5,0.006679181027225749,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,3Sum,64.5,0.003930094864287979,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Restore IP Addresses,64.5,0.005630067675904198,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Reverse Linked List,64.5,0.008070828463935992,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Lowest Common Ancestor of a Binary Tree,64.5,0.006956344941005157,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Coin Change,64.5,0.004863050091387497,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Koko Eating Bananas,64.5,0.005015276723394978,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
