Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,92.4,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,92.4,0.007279875792801981,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Majority Element,92.4,0.006637443189666331,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Special Binary String,92.4,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Add Two Numbers,90.6,0.00487011851609498,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,90.6,0.004684493665886855,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,86.5,0.003930094864287979,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,86.5,0.005415744002285826,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Reverse Linked List,86.5,0.008070828463935992,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Smallest Range II,86.5,0.00379922565431077,https://leetcode.com/problems/smallest-range-ii,"Array, Math, Greedy, Sorting"
MEDIUM,Merge Intervals,84.3,0.005211648246868195,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Nim Game,84.3,0.005994892952530484,https://leetcode.com/problems/nim-game,"Math, Brainteaser, Game Theory"
HARD,Number of Increasing Paths in a Grid,84.3,0.0057354542731901225,https://leetcode.com/problems/number-of-increasing-paths-in-a-grid,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
MEDIUM,Divide Intervals Into Minimum Number of Groups,84.3,0.006356391833873653,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,81.7,0.004754602161061486,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Tenth Line,81.7,0.0036994880406200224,https://leetcode.com/problems/tenth-line,Shell
MEDIUM,Delete Node in a Linked List,81.7,0.008404812760330872,https://leetcode.com/problems/delete-node-in-a-linked-list,Linked List
EASY,Add Digits,81.7,0.006903065734314695,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
EASY,Kth Largest Element in a Stream,81.7,0.006117933478498075,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
HARD,Preimage Size of Factorial Zeroes Function,81.7,0.004715074565192893,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function,"Math, Binary Search"
MEDIUM,Number of Subarrays with Bounded Maximum,81.7,0.005505424549448579,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,"Array, Two Pointers"
EASY,Smallest Range I,81.7,0.007370568365567762,https://leetcode.com/problems/smallest-range-i,"Array, Math"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,81.7,0.007201377217077725,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
HARD,Count Ways to Build Rooms in an Ant Colony,81.7,0.0051709077944649936,https://leetcode.com/problems/count-ways-to-build-rooms-in-an-ant-colony,"Array, Math, Dynamic Programming, Tree, Depth-First Search, Graph Theory, Topological Sort, Combinatorics"
MEDIUM,Plates Between Candles,81.7,0.004753171355807414,https://leetcode.com/problems/plates-between-candles,"Array, String, Binary Search, Prefix Sum"
HARD,Choose Numbers From Two Arrays in Range,81.7,0.005289224952741021,https://leetcode.com/problems/choose-numbers-from-two-arrays-in-range,"Array, Dynamic Programming"
MEDIUM,Minimize XOR,81.7,0.006240041966000427,https://leetcode.com/problems/minimize-xor,"Greedy, Bit Manipulation"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,81.7,0.006890493640870878,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
MEDIUM,Minimizing Array After Replacing Pairs With Their Product,81.7,0.004080756013745705,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product,"Array, Dynamic Programming, Greedy"
MEDIUM,Count Subarrays Where Max Element Appears at Least K Times,81.7,0.0062397910346831,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times,"Array, Sliding Window"
EASY,Bitwise OR of Adjacent Elements,81.7,0.009475592747559276,https://leetcode.com/problems/bitwise-or-of-adjacent-elements,"Array, Bit Manipulation"
MEDIUM,Number of Islands,79.0,0.00645936665741236,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Minimum Window Substring,75.9,0.004780045141183194,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Threshold Majority Queries,75.9,0.0022237417943107222,https://leetcode.com/problems/threshold-majority-queries,"Array, Hash Table, Binary Search, Divide and Conquer, Counting, Prefix Sum"
EASY,Minimum Moves to Equal Array Elements III,75.9,0.008202321724709784,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-iii,"Array, Math"
MEDIUM,Integer to Roman,72.4,0.007117947821668864,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Next Permutation,72.4,0.004551812893420343,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Trapping Rain Water,72.4,0.0067615049366153155,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Jump Game,72.4,0.0041065097120021226,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Best Time to Buy and Sell Stock,72.4,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Validate IP Address,72.4,0.0028365913761700225,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Longest Palindromic Substring,68.3,0.003804632163910021,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Longest Common Prefix,68.3,0.004778143430317111,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,68.3,0.004436541346273699,https://leetcode.com/problems/valid-parentheses,"String, Stack"
