Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Minimum Absolute Difference,96.7,0.007515221813113072,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Daily Temperatures,88.1,0.006882736173925375,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Eliminate Maximum Number of Monsters,88.1,0.005117179831162883,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
MEDIUM,Capacity To Ship Packages Within D Days,82.3,0.007414311743125459,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,3Sum,78.7,0.003930094864287979,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Unique Paths II,78.7,0.004463790468478294,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Backspace String Compare,69.3,0.00499835242472815,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
HARD,Number of Atoms,69.3,0.006512233025183296,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,62.7,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Sort Array by Increasing Frequency,62.7,0.008088673672329755,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
MEDIUM,Decode String,62.7,0.006278173696244667,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Find Pivot Index,62.7,0.006300698151650808,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Climbing Stairs,62.7,0.005415744002285826,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Triangle,53.3,0.0059920939956114826,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
MEDIUM,House Robber,53.3,0.005332524663575611,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Find the Child Who Has the Ball After K Seconds,53.3,0.006213327338313287,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
MEDIUM,Lexicographically Smallest String After Substring Operation,53.3,0.00350794759658172,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,53.3,0.007201377217077725,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
EASY,Two Sum,53.3,0.005768893857769186,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),53.3,0.0055409638232076916,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Squares of a Sorted Array,53.3,0.007385797724503946,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,53.3,0.006619246607354718,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Integer to Roman,53.3,0.007117947821668864,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Next Greater Element I,53.3,0.0076351513266902605,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Permutations,53.3,0.008205081624882886,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Subarray Product Less Than K,53.3,0.005449004724287817,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Fizz Buzz,53.3,0.007561008815785815,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Best Time to Buy and Sell Stock II,53.3,0.00712399405861274,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest String Chain,53.3,0.0063169040929562745,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Reorganize String,53.3,0.005723973464881337,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Sliding Window Maximum,53.3,0.004889029746030049,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Valid Parentheses,53.3,0.004436541346273699,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Happy Number,53.3,0.005983040175994587,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Longest Increasing Subsequence,53.3,0.005957433723453524,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
