Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Minimum Absolute Difference,100.0,0.007515221813113072,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Eliminate Maximum Number of Monsters,98.6,0.005117179831162883,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
EASY,Best Time to Buy and Sell Stock,97.1,0.005696311008793784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Capacity To Ship Packages Within D Days,91.8,0.007414311743125459,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Number of Atoms,91.8,0.006512233025183296,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,Daily Temperatures,89.8,0.006882736173925375,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Find the Child Who Has the Ball After K Seconds,87.6,0.006213327338313287,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
MEDIUM,Find Diameter Endpoints of a Tree,82.4,0.006734892787524367,https://leetcode.com/problems/find-diameter-endpoints-of-a-tree,"Tree, Breadth-First Search, Graph Theory"
MEDIUM,3Sum,75.6,0.003930094864287979,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Unique Paths II,75.6,0.004463790468478294,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,71.4,0.003929937441226943,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Decode String,71.4,0.006278173696244667,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Remove All Adjacent Duplicates in String II,71.4,0.006146396534446704,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,House Robber,66.2,0.005332524663575611,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Backspace String Compare,66.2,0.00499835242472815,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Find Pivot Index,66.2,0.006300698151650808,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Sort Colors,66.2,0.0069875247454362025,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Sort Array by Increasing Frequency,59.5,0.008088673672329755,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Climbing Stairs,59.5,0.005415744002285826,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Sliding Window Maximum,59.5,0.004889029746030049,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Coin Change,59.5,0.004863050091387497,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Subarray Sum Equals K,59.5,0.0047566457256946835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Koko Eating Bananas,59.5,0.005015276723394978,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Subsets,59.5,0.008247560770170463,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Valid Parentheses,50.1,0.004436541346273699,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Triangle,50.1,0.0059920939956114826,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
