Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005138932790173787,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Maximum Profit in Job Scheduling,92.4,0.005477632342560363,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,85.9,0.0050520002201067515,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Smallest Common Region,84.9,0.0068321584186474904,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
HARD,Palindrome Pairs,84.9,0.003729360767134523,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
HARD,Maximum Candies You Can Get from Boxes,83.9,0.006726679405414795,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Pour Water,79.2,0.0049098690579304025,https://leetcode.com/problems/pour-water,"Array, Simulation"
HARD,Sliding Puzzle,77.8,0.007447678975628694,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
HARD,Trapping Rain Water,76.4,0.006761505482638957,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Intersection of Two Linked Lists,76.4,0.006403112800552261,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
HARD,Design Excel Sum Formula,76.4,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
HARD,Alien Dictionary,74.8,0.003724813783109737,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Contains Duplicate II,73.2,0.005145311048688718,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Two Sum,71.3,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,71.3,0.004870112466831118,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Simple Bank System,71.3,0.006966613338928375,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Word Search II,71.3,0.0038586210524206477,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
