Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,N-Repeated Element in Size 2N Array,100.0,0.007995986152225177,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,89.8,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Contiguous Array,77.1,0.005159835831236173,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
EASY,Add Two Integers,70.6,0.008798523136272923,https://leetcode.com/problems/add-two-integers,Math
EASY,Two Sum,61.4,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,First Unique Character in a String,61.4,0.006571191235274828,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Unique Paths,61.4,0.006695965417867436,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Spiral Matrix,61.4,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Substring Without Repeating Characters,61.4,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Palindromic Substrings,61.4,0.0072921438861794806,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find Peak Element,61.4,0.0047030026955636435,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
