Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,84.3,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,80.3,0.006761505482638957,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,78.1,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,75.5,0.003804632240634849,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Reorganize String,75.5,0.005723973464881337,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Coins From K Consecutive Bags,75.5,0.0025171429333760236,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Fruit Into Baskets,75.5,0.005149156096336439,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Add Two Numbers,72.7,0.004870112466831118,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,LRU Cache,69.5,0.004754603100623288,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Koko Eating Bananas,69.5,0.005015272161544591,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Merge Intervals,69.5,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Median of Two Sorted Arrays,69.5,0.004684486821391192,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Course Schedule,65.9,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,3Sum,65.9,0.003930099286541829,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Minimum Window Substring,65.9,0.004780043088902419,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Consecutive Sequence,65.9,0.004714858890652096,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Angle Between Hands of a Clock,65.9,0.00696202268666639,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Number of Islands,61.5,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Container With Most Water,61.5,0.006024272936922577,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,61.5,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Total Waviness of Numbers in Range I,61.5,0.008747960923037446,https://leetcode.com/problems/total-waviness-of-numbers-in-range-i,"Math, Dynamic Programming, Enumeration"
MEDIUM,Maximum Subarray,61.5,0.005347364606625413,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Binary Tree Inorder Traversal,61.5,0.008022947334468117,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Boats to Save People,61.5,0.006195512945947403,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
EASY,Majority Element,56.2,0.0066374428053404735,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Palindrome Number,56.2,0.0060692954246055674,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Sort Colors,56.2,0.006987526376171206,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,56.2,0.006956348122643913,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Group Anagrams,56.2,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Create Binary Tree From Descriptions,56.2,0.008391505612049419,https://leetcode.com/problems/create-binary-tree-from-descriptions,"Array, Hash Table, Tree, Binary Tree"
EASY,Reverse String,56.2,0.008093578588786893,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Open the Lock,56.2,0.006136945934264408,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Maximum Ice Cream Bars,56.2,0.0077209365021079215,https://leetcode.com/problems/maximum-ice-cream-bars,"Array, Greedy, Sorting, Counting Sort"
MEDIUM,Search in Rotated Sorted Array,56.2,0.004509747266183943,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotting Oranges,49.4,0.005886904485781881,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Permutations,49.4,0.008205084890243549,https://leetcode.com/problems/permutations,"Array, Backtracking"
HARD,Regular Expression Matching,49.4,0.0031126118336226543,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Remove Duplicates from Sorted Array,49.4,0.00630802948965961,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Interleaving String,49.4,0.004420880276499926,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
EASY,Merge Two Sorted Lists,49.4,0.0068452082924932425,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Largest Rectangle in Histogram,49.4,0.005018770149897726,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Word Search,49.4,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Word Ladder,49.4,0.0045843839633708475,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,First Missing Positive,49.4,0.004311787488380566,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Find the Duplicate Number,49.4,0.006452348189851862,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,3Sum Closest,49.4,0.004875663105166505,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
EASY,Valid Anagram,49.4,0.006826513975928387,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Merge Sorted Array,49.4,0.005509616418745217,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Max Consecutive Ones,49.4,0.006544882522220403,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Unique Paths II,49.4,0.0044637969469489966,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Number of Ways to Assign Edge Weights I,49.4,0.006409828087390007,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-i,"Math, Tree, Depth-First Search"
HARD,Palindrome Partitioning II,49.4,0.0037293080215914,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
MEDIUM,Majority Element II,49.4,0.005637023718078007,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
MEDIUM,Two Sum II - Input Array Is Sorted,49.4,0.006529626533032652,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Rotate Image,49.4,0.008027379236553727,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Search a 2D Matrix II,49.4,0.00575018714924806,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
EASY,Balanced Binary Tree,49.4,0.005858669548123077,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Squares of a Sorted Array,49.4,0.007385797724503946,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,49.4,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Reverse Nodes in k-Group,49.4,0.0066421826646743875,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Find Missing and Repeated Values,49.4,0.008312215377316615,https://leetcode.com/problems/find-missing-and-repeated-values,"Array, Hash Table, Math, Matrix"
HARD,Binary Tree Maximum Path Sum,49.4,0.004242989999604108,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Coin Change,49.4,0.004863052653436406,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Word Search II,49.4,0.0038586210524206477,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Daily Temperatures,49.4,0.006882735924129706,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Product of Array Except Self,49.4,0.006900147952855158,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Remove Nth Node From End of List,49.4,0.005188561480058081,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Sum of Total Strength of Wizards,49.4,0.00294915559761607,https://leetcode.com/problems/sum-of-total-strength-of-wizards,"Array, Stack, Monotonic Stack, Prefix Sum"
EASY,Maximum Number of Balloons,49.4,0.006406329403896436,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
HARD,Number of ZigZag Arrays I,49.4,0.005096310884811221,https://leetcode.com/problems/number-of-zigzag-arrays-i,"Dynamic Programming, Prefix Sum"
MEDIUM,Copy List with Random Pointer,39.9,0.006314226846424955,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Unique Paths,39.9,0.006695965417867436,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Asteroid Collision,39.9,0.004821275570068126,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Contains Duplicate,39.9,0.0064458721686972646,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Check if Array Is Sorted and Rotated,39.9,0.005744904226761909,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Isomorphic Strings,39.9,0.004856371467843861,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
HARD,Sliding Window Maximum,39.9,0.00488903119164542,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Subarray Sum Equals K,39.9,0.004756645199381269,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Capacity To Ship Packages Within D Days,39.9,0.007414311743125459,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,4Sum,39.9,0.004090527617607943,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Set Matrix Zeroes,39.9,0.006317497498962985,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Earliest Finish Time for Land and Water Rides II,39.9,0.006429030798180215,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-ii,"Array, Two Pointers, Binary Search, Greedy, Sorting"
EASY,Earliest Finish Time for Land and Water Rides I,39.9,0.007295426149587202,https://leetcode.com/problems/earliest-finish-time-for-land-and-water-rides-i,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Spiral Matrix,39.9,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Minimum Operations to Sort a Permutation,39.9,0.0027431034808750405,https://leetcode.com/problems/minimum-operations-to-sort-a-permutation,Array
MEDIUM,Min Stack,39.9,0.005831163963479916,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Symmetric Tree,39.9,0.006142815625124143,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Serialize and Deserialize Binary Tree,39.9,0.006096475304251816,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Next Permutation,39.9,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Longest Arithmetic Sequence After Changing At Most One Element,39.9,0.002142060386062428,https://leetcode.com/problems/longest-arithmetic-sequence-after-changing-at-most-one-element,"Array, Enumeration"
MEDIUM,Binary Tree Level Order Traversal,39.9,0.007290308479546481,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Minimum Cost of Buying Candies With Discount,39.9,0.007156016693567575,https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount,"Array, Greedy, Sorting"
EASY,Kth Missing Positive Number,39.9,0.006361356064199179,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
