Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,84.8,0.006761505482638957,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,81.7,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,81.1,0.004754603100623288,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,80.1,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Add Two Numbers,77.3,0.004870112466831118,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,3Sum,76.9,0.003930099286541829,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,75.7,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Median of Two Sorted Arrays,74.4,0.004684486821391192,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Palindromic Substring,73.5,0.003804632240634849,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Container With Most Water,73.5,0.006024272936922577,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Merge Intervals,72.6,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Merge k Sorted Lists,71.1,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Koko Eating Bananas,71.1,0.005015272161544591,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Group Anagrams,70.5,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Course Schedule,70.5,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Subarray Sum Equals K,70.0,0.004756645199381269,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Rotting Oranges,70.0,0.005886904485781881,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Search in Rotated Sorted Array,68.9,0.004509747266183943,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Lowest Common Ancestor of a Binary Tree,68.9,0.006956348122643913,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Consecutive Sequence,68.3,0.004714858890652096,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Reorganize String,67.7,0.005723973464881337,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Longest Common Prefix,67.0,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Generate Parentheses,67.0,0.007881137542379964,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Palindrome Number,66.4,0.0060692954246055674,https://leetcode.com/problems/palindrome-number,Math
EASY,Majority Element,65.7,0.0066374428053404735,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Letter Combinations of a Phone Number,63.6,0.006627770324490637,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Maximum Subarray,63.6,0.005347364606625413,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Fruit Into Baskets,63.6,0.005149156096336439,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
EASY,Valid Parentheses,62.8,0.004436541285767518,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Asteroid Collision,62.8,0.004821275570068126,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Merge Two Sorted Lists,62.0,0.0068452082924932425,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Climbing Stairs,62.0,0.005415747057275755,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Sort Colors,62.0,0.006987526376171206,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,House Robber,62.0,0.005332524663575611,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Next Permutation,61.1,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Concatenation of Array,61.1,0.00902188322644372,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
MEDIUM,4Sum,60.3,0.004090527617607943,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Repeating Character Replacement,60.3,0.005992802189181016,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Unique Paths,59.3,0.006695965417867436,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Subsets,59.3,0.008247560770170463,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Sqrt(x),59.3,0.00419674745327503,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Remove Duplicates from Sorted Array,58.4,0.00630802948965961,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,57.4,0.004682794527040766,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Search Insert Position,57.4,0.005151851750822933,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Contains Duplicate,57.4,0.0064458721686972646,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Top K Frequent Elements,57.4,0.00667045208249734,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Max Consecutive Ones III,57.4,0.006790656783553781,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Rotate Image,56.3,0.008027379236553727,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Jump Game,56.3,0.004106511188805493,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Word Ladder,56.3,0.0045843839633708475,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Single Number,56.3,0.00778627926203043,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Sliding Window Maximum,56.3,0.00488903119164542,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Valid Anagram,56.3,0.006826513975928387,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Zigzag Conversion,55.2,0.005438130250230188,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Remove Nth Node From End of List,55.2,0.005188561480058081,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Remove Element,55.2,0.006197510605684774,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Copy List with Random Pointer,55.2,0.006314226846424955,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Find Peak Element,55.2,0.0047030026955636435,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Find First and Last Position of Element in Sorted Array,54.0,0.00491214767986976,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Reorder List,54.0,0.006553493549279991,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Second Highest Salary,54.0,0.004735458537349123,https://leetcode.com/problems/second-highest-salary,Database
EASY,Palindrome Linked List,54.0,0.00582140681098633,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Product of Array Except Self,54.0,0.006900147952855158,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Move Zeroes,54.0,0.006398869862475347,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,3Sum Closest,52.7,0.004875663105166505,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
HARD,First Missing Positive,52.7,0.004311787488380566,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Kth Largest Element in an Array,52.7,0.006903909892157134,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Task Scheduler,52.7,0.006328978081502547,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Reverse Integer,51.3,0.003204622508169963,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Spiral Matrix,51.3,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Minimum Window Substring,51.3,0.004780043088902419,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Largest Rectangle in Histogram,51.3,0.005018770149897726,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Pascal's Triangle,51.3,0.00790887436541695,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Min Stack,51.3,0.005831163963479916,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Meeting Rooms II,51.3,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Find the Duplicate Number,51.3,0.006452348189851862,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Daily Temperatures,51.3,0.006882735924129706,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Sum of Subarray Minimums,51.3,0.0038729517716470114,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
EASY,Combine Two Tables,51.3,0.007965751608387613,https://leetcode.com/problems/combine-two-tables,Database
MEDIUM,String to Integer (atoi),49.9,0.002118413311345226,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Permutations,49.9,0.008205084890243549,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Sorted Array,49.9,0.005509616418745217,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,49.9,0.005358815038992069,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Binary Tree Right Side View,49.9,0.007049403361321285,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Coin Change,49.9,0.004863052653436406,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,First Unique Character in a String,49.9,0.006571191235274828,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Rotate String,49.9,0.00667792434587897,https://leetcode.com/problems/rotate-string,"String, String Matching"
MEDIUM,Capacity To Ship Packages Within D Days,49.9,0.007414311743125459,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Search a 2D Matrix II,49.9,0.00575018714924806,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
EASY,Check if Array Is Sorted and Rotated,49.9,0.005744904226761909,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
MEDIUM,Sell Diminishing-Valued Colored Balls,49.9,0.0030236561383375497,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Valid Sudoku,48.3,0.006467037643574219,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,N-Queens,48.3,0.007584669092593092,https://leetcode.com/problems/n-queens,"Array, Backtracking"
EASY,Plus One,48.3,0.005011655737564903,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Set Matrix Zeroes,48.3,0.006317497498962985,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Search a 2D Matrix,48.3,0.005416867625480386,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Word Search,48.3,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
