Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,88.7,0.004754603100623288,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,87.4,0.006761505482638957,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,86.0,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,83.8,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,83.3,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,80.1,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Add Two Numbers,79.3,0.004870112466831118,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Reorganize String,78.9,0.005723973464881337,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,3Sum,78.7,0.003930099286541829,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,78.5,0.003804632240634849,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Intervals,76.6,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Container With Most Water,76.5,0.006024272936922577,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Median of Two Sorted Arrays,76.4,0.004684486821391192,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Koko Eating Bananas,75.1,0.005015272161544591,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Valid Parentheses,74.8,0.004436541285767518,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Course Schedule,74.7,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Merge k Sorted Lists,74.1,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Longest Common Prefix,73.8,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Rotting Oranges,73.7,0.005886904485781881,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Subarray Sum Equals K,73.0,0.004756645199381269,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Merge Sorted Array,72.6,0.005509616418745217,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,71.4,0.004509747266183943,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Top K Frequent Elements,71.2,0.00667045208249734,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Maximum Subarray,70.9,0.005347364606625413,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,70.6,0.004714858890652096,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Copy List with Random Pointer,70.3,0.006314226846424955,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Lowest Common Ancestor of a Binary Tree,70.1,0.006956348122643913,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Generate Parentheses,69.8,0.007881137542379964,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Palindrome Number,69.5,0.0060692954246055674,https://leetcode.com/problems/palindrome-number,Math
HARD,Word Ladder,69.2,0.0045843839633708475,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Majority Element,69.0,0.0066374428053404735,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Product of Array Except Self,68.2,0.006900147952855158,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Merge Two Sorted Lists,67.5,0.0068452082924932425,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Jump Game,67.4,0.004106511188805493,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Climbing Stairs,66.8,0.005415747057275755,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,House Robber,66.7,0.005332524663575611,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,66.4,0.006627770324490637,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Course Schedule II,65.8,0.005574028274042673,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Word Search,65.2,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Spiral Matrix,64.8,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Sliding Window Maximum,64.8,0.00488903119164542,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Valid Anagram,64.5,0.006826513975928387,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Next Permutation,63.8,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rotate Image,63.8,0.008027379236553727,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Analyze User Website Visit Pattern,63.8,0.004430678071071088,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Largest Element in an Array,63.3,0.006903909892157134,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Coin Change,63.3,0.004863052653436406,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Task Scheduler,63.3,0.006328978081502547,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Remove Duplicates from Sorted Array,63.1,0.00630802948965961,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Meeting Rooms II,62.3,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Find Median from Data Stream,62.3,0.005463235454787804,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Roman to Integer,62.1,0.006679181762597486,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Subsets,61.9,0.008247560770170463,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Merge Strings Alternately,61.9,0.008210741145652295,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Unique Paths,61.5,0.006695965417867436,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Insert Delete GetRandom O(1),61.2,0.005540957189536745,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Find Peak Element,61.0,0.0047030026955636435,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Pascal's Triangle,60.8,0.00790887436541695,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Word Break,60.8,0.004958117224319622,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Reverse Integer,60.4,0.003204622508169963,https://leetcode.com/problems/reverse-integer,Math
