Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,100.0,0.006151711340792217,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
HARD,Divide an Array Into Subarrays With Minimum Cost II,97.8,0.005472005184361492,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
HARD,Maximum Equal Frequency,97.8,0.003826458587147802,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
HARD,Find a Value of a Mysterious Function Closest to Target,95.5,0.004736651524129304,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
EASY,Divide an Array Into Subarrays With Minimum Cost I,95.5,0.008058506773793751,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
MEDIUM,Ugly Number III,95.5,0.003159866455807415,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
EASY,Percentage of Letter in String,95.5,0.0075226168659278,https://leetcode.com/problems/percentage-of-letter-in-string,String
MEDIUM,Maximize the Topmost Element After K Moves,95.5,0.002411356676382688,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
MEDIUM,Maximum XOR After Operations ,95.5,0.007990946218570093,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
MEDIUM,Equal Sum Arrays With Minimum Number of Operations,95.5,0.005466306789909377,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
MEDIUM,Minimum Number of Operations to Make Array XOR Equal to K,95.5,0.00854718424323549,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
EASY,Two Sum,82.8,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Anagram,78.3,0.006826513975928387,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,72.7,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,65.6,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Find N Unique Integers Sum up to Zero,65.6,0.007841407547441644,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,"Array, Math"
MEDIUM,3Sum,55.6,0.003930099286541829,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Array,55.6,0.004510331638342477,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Permutations,55.6,0.008205084890243549,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Isomorphic Strings,55.6,0.004856371467843861,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Longest Common Prefix,55.6,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Linked List Cycle II,55.6,0.0058311472034578435,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Consecutive Numbers,55.6,0.004862823558985688,https://leetcode.com/problems/consecutive-numbers,Database
