Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Video Stitching,84.7,0.005275963422599608,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
EASY,Shortest Word Distance,81.2,0.006634802567719033,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Course Schedule,81.2,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Group Anagrams,77.0,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search Suggestions System,77.0,0.006518429894383477,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Find Median from Data Stream,77.0,0.005463235454787804,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Heaters,74.5,0.004211217028886229,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
HARD,Making A Large Island,74.5,0.005679371289535162,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule II,71.7,0.005574028274042673,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Daily Temperatures,68.5,0.006882735924129706,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Maximum Number of Visible Points,68.5,0.003825935400444157,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Shortest Word Distance II,68.5,0.00629293138575227,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Merge Intervals,68.5,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Race Car,64.7,0.00448856299384241,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Time Based Key-Value Store,60.0,0.0049990580349617755,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Spiral Matrix,60.0,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Merge k Sorted Lists,60.0,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Minimum Rounds to Complete All Tasks,60.0,0.006336394131644418,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks,"Array, Hash Table, Greedy, Counting"
MEDIUM,Push Dominoes,60.0,0.006301205345445017,https://leetcode.com/problems/push-dominoes,"Two Pointers, String, Dynamic Programming"
MEDIUM,Game of Life,54.0,0.007272345636608332,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Insert into a Sorted Circular Linked List,54.0,0.0038570851166492255,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
