Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule II,82.3,0.005574028274042673,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Video Stitching,82.3,0.005275963422599608,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
MEDIUM,Heaters,80.7,0.004211217028886229,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Daily Temperatures,80.7,0.006882735924129706,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Shortest Word Distance,80.7,0.006634802567719033,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Course Schedule,80.7,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Maximum Number of Visible Points,76.8,0.003825935400444157,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
HARD,Making A Large Island,76.8,0.005679371289535162,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Group Anagrams,74.6,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search Suggestions System,74.6,0.006518429894383477,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Find Median from Data Stream,74.6,0.005463235454787804,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Shortest Word Distance II,69.3,0.00629293138575227,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Merge Intervals,66.0,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Spiral Matrix,62.2,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Merge k Sorted Lists,62.2,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Rotting Oranges,62.2,0.005886904485781881,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Race Car,62.2,0.00448856299384241,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Queries on Number of Points Inside a Circle,62.2,0.008684294814762092,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,"Array, Math, Geometry"
MEDIUM,Time Based Key-Value Store,57.5,0.0049990580349617755,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,String Compression,57.5,0.006021163813776295,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Meeting Rooms II,57.5,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Minimum Rounds to Complete All Tasks,57.5,0.006336394131644418,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks,"Array, Hash Table, Greedy, Counting"
MEDIUM,Shortest Path in Binary Matrix,57.5,0.005173010874425597,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Push Dominoes,57.5,0.006301205345445017,https://leetcode.com/problems/push-dominoes,"Two Pointers, String, Dynamic Programming"
EASY,Ransom Note,57.5,0.00660925221532102,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Game of Life,51.5,0.007272345636608332,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Snakes and Ladders,51.5,0.0048156748986782775,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Find the Duplicate Number,51.5,0.006452348189851862,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Insert into a Sorted Circular Linked List,51.5,0.0038570851166492255,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
MEDIUM,Minesweeper,51.5,0.006881266141315144,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Valid Parentheses,51.5,0.004436541285767518,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Evaluate Reverse Polish Notation,51.5,0.005803693325633421,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Accounts Merge,51.5,0.0061528361018053,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Palindromic Substrings,51.5,0.0072921438861794806,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Verifying an Alien Dictionary,51.5,0.005601947158092281,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
HARD,Word Break II,51.5,0.005572754731136461,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Insert into a Binary Search Tree,51.5,0.007350841117674713,https://leetcode.com/problems/insert-into-a-binary-search-tree,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Buildings With an Ocean View,51.5,0.008087144012640608,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
MEDIUM,Brace Expansion,51.5,0.006687939878325182,https://leetcode.com/problems/brace-expansion,"String, Backtracking, Stack, Breadth-First Search, Sorting"
