Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,95.6,0.004754603100623288,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Hit Counter,78.8,0.006972096645944039,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Course Schedule II,78.8,0.005574028274042673,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Best Time to Buy and Sell Stock,78.8,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),73.4,0.005540957189536745,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Longest Common Prefix,73.4,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Spiral Matrix,73.4,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,3Sum,73.4,0.003930099286541829,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Total Hamming Distance,73.4,0.005499211071234107,https://leetcode.com/problems/total-hamming-distance,"Array, Math, Bit Manipulation"
EASY,Reverse Linked List,66.4,0.008070828947690116,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Group Anagrams,66.4,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,66.4,0.00491214767986976,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Course Schedule,66.4,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Basic Calculator II,66.4,0.004697244488047787,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Subarray Sum Equals K,66.4,0.004756645199381269,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Edit Distance,66.4,0.006080738145864472,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Word Ladder,66.4,0.0045843839633708475,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Number of Islands,56.6,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,56.6,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Best Time to Buy and Sell Stock II,56.6,0.007123996048302217,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Serialize and Deserialize N-ary Tree,56.6,0.0068844320618401825,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Subarray Product Less Than K,56.6,0.005449000048058109,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Merge k Sorted Lists,56.6,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Construct Binary Tree from Preorder and Postorder Traversal,56.6,0.007809188764926838,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Convert Object to JSON String,56.6,0.0078078559195624555,https://leetcode.com/problems/convert-object-to-json-string,
MEDIUM,All Nodes Distance K in Binary Tree,56.6,0.006777209505514105,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Find All Lonely Numbers in the Array,56.6,0.006330456900451523,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array,"Array, Hash Table, Counting"
MEDIUM,Design Memory Allocator,56.6,0.005030252201521595,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Task Manager,56.6,0.004892174721542286,https://leetcode.com/problems/design-task-manager,"Hash Table, Design, Heap (Priority Queue), Ordered Set"
MEDIUM,Valid Sudoku,56.6,0.006467037643574219,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Time Based Key-Value Store,56.6,0.0049990580349617755,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Valid Palindrome,56.6,0.005358815038992069,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Longest Consecutive Sequence,56.6,0.004714858890652096,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Task Scheduler,56.6,0.006328978081502547,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
