Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754603100623288,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,88.4,0.00576889423655172,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,85.5,0.006459367287189016,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Merge Intervals,84.7,0.005211651885832463,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Best Time to Buy and Sell Stock,79.0,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,78.5,0.004778144766834466,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Design Hit Counter,78.5,0.006972096645944039,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Rotate Array,77.9,0.004510331638342477,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Valid Sudoku,76.7,0.006467037643574219,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Reverse Linked List,76.7,0.008070828947690116,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Group Anagrams,76.1,0.007279876592837836,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,76.1,0.00667045208249734,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Course Schedule,73.5,0.00516492530234305,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Course Schedule II,73.5,0.005574028274042673,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Valid Parentheses,72.7,0.004436541285767518,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,72.0,0.00392993807528904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Product of Array Except Self,72.0,0.006900147952855158,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Rotate Image,70.4,0.008027379236553727,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Valid Palindrome,70.4,0.005358815038992069,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Reverse Words in a String,70.4,0.005681671366514647,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Kth Largest Element in an Array,69.5,0.006903909892157134,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Maximum Subarray,68.6,0.005347364606625413,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Spiral Matrix,68.6,0.005707359436533046,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Best Time to Buy and Sell Stock II,68.6,0.007123996048302217,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Reverse Integer,67.7,0.003204622508169963,https://leetcode.com/problems/reverse-integer,Math
HARD,Merge k Sorted Lists,66.7,0.005981750804343287,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Trapping Rain Water,65.7,0.006761505482638957,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
