Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Reverse Nodes in k-Group,100.0,0.0066421826646743875,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Restore IP Addresses,96.4,0.0056300715151728145,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Reorder List,87.3,0.00655349645776107,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Course Schedule II,87.3,0.005574031081509674,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Reverse Linked List II,81.3,0.00517433031483586,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Contains Duplicate II,81.3,0.005145312413466029,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Inorder Successor in BST II,81.3,0.006109710517259318,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
EASY,Remove Linked List Elements,81.3,0.0054724750091939426,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
EASY,Maximum Depth of Binary Tree,81.3,0.007830389443028864,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Copy List with Random Pointer,81.3,0.006314228042907208,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Missing Number,81.3,0.007219750490382126,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Rotated Digits,73.6,0.006403835923684098,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
MEDIUM,Construct String With Repeat Limit,73.6,0.007082275894700619,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
EASY,Maximum Units on a Truck,73.6,0.007496366231117127,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,LRU Cache,73.6,0.004754602248973366,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Search in Rotated Sorted Array,73.6,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Simplify Path,73.6,0.0050803150952778466,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove Duplicates from Sorted List II,73.6,0.005199335762958256,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
EASY,Find the Town Judge,62.8,0.00508619319749602,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph Theory"
MEDIUM,Merge In Between Linked Lists,62.8,0.008303333099185163,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
MEDIUM,Palindromic Substrings,62.8,0.007292129526352094,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Path Sum II,62.8,0.006239914256875578,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Palindromic Substring,62.8,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Word Search,62.8,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Permutations,62.8,0.008205080625418098,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,62.8,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Remove All Occurrences of a Substring,62.8,0.007855186553747522,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Maximum Subarray,62.8,0.005347367999222396,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Swap Nodes in Pairs,62.8,0.006972750424659252,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Word Break,62.8,0.004958115230364188,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Top K Frequent Elements,62.8,0.006670449666830036,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Edit Distance,62.8,0.006080732346025155,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Kth Largest Element in a Stream,62.8,0.006117930779759706,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
EASY,Valid Palindrome,62.8,0.005358813876558438,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
