Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Construct String With Repeat Limit,100.0,0.007082275894700619,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
EASY,Find the Town Judge,97.6,0.00508619319749602,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph Theory"
HARD,Reverse Nodes in k-Group,91.9,0.0066421826646743875,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Restore IP Addresses,91.9,0.0056300715151728145,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Reorder List,84.6,0.00655349645776107,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Reverse Linked List II,80.0,0.00517433031483586,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Remove Linked List Elements,80.0,0.0054724750091939426,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
MEDIUM,Course Schedule II,80.0,0.005574031081509674,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,LRU Cache,74.3,0.004754602248973366,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Contains Duplicate II,74.3,0.005145312413466029,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Missing Number,74.3,0.007219750490382126,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Inorder Successor in BST II,74.3,0.006109710517259318,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
EASY,Maximum Depth of Binary Tree,74.3,0.007830389443028864,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,74.3,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Copy List with Random Pointer,74.3,0.006314228042907208,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Rotated Digits,67.0,0.006403835923684098,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
EASY,Maximum Units on a Truck,67.0,0.007496366231117127,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,Permutations,67.0,0.008205080625418098,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Simplify Path,67.0,0.0050803150952778466,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove Duplicates from Sorted List II,67.0,0.005199335762958256,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
MEDIUM,Merge In Between Linked Lists,56.8,0.008303333099185163,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
