Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.006002801814838089,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Stock Price Fluctuation ,95.0,0.004910788735828355,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
HARD,All O`one Data Structure,91.2,0.004434144965286984,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Snake Game,88.1,0.0040037226477332,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Merge Intervals,81.7,0.0052116492453963435,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,74.1,0.006956351304276016,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Meeting Rooms II,70.7,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,High-Access Employees,64.9,0.004759291313097198,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
EASY,Find the Width of Columns of a Grid,64.9,0.007051046764545948,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Text Justification,63.2,0.005138932790173787,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Maximum Square Area by Removing Fences From a Field,63.2,0.004954654367737321,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
EASY,Maximum Area of Longest Diagonal Rectangle,63.2,0.004591086120501629,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
MEDIUM,Word Search,61.2,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Lowest Common Ancestor of a Binary Tree IV,61.2,0.007963011395479171,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,The Time When the Network Becomes Idle,56.5,0.005578766337995873,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph Theory"
MEDIUM,Top K Frequent Elements,53.6,0.006670449666830036,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Group Anagrams,50.3,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Logger Rate Limiter,50.3,0.007685509772622743,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Can Place Flowers,50.3,0.002918190072750789,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
EASY,Best Time to Buy and Sell Stock,46.1,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Koko Eating Bananas,46.1,0.005015269123395595,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Russian Doll Envelopes,46.1,0.003797091606661151,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Longest String Chain,40.8,0.0063169084262702825,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
EASY,Two Sum,40.8,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Number of Possible Sets of Closing Branches,40.8,0.005135487350020222,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph Theory, Heap (Priority Queue), Enumeration, Shortest Path"
MEDIUM,Longest Consecutive Sequence,40.8,0.004714860426736946,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,40.8,0.005347327084149428,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Jump Game II,40.8,0.004303497912644383,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Rearranging Fruits,40.8,0.005729944124373932,https://leetcode.com/problems/rearranging-fruits,"Array, Hash Table, Greedy, Sort"
MEDIUM,Nth Highest Salary,40.8,0.003940824920072367,https://leetcode.com/problems/nth-highest-salary,Database
HARD,Last Day Where You Can Still Cross,40.8,0.0068725936659076794,https://leetcode.com/problems/last-day-where-you-can-still-cross,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Design File System,33.4,0.006514262579197091,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Longest Increasing Subsequence,33.4,0.00595743292042723,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,33.4,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Boats to Save People,33.4,0.006195506392844753,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Maximum Good Subarray Sum,33.4,0.0022039726234144613,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
MEDIUM,Minimum Cost to Convert String I,33.4,0.006316340961686809,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph Theory, Shortest Path"
MEDIUM,Smallest Missing Non-negative Integer After Operations,33.4,0.0055944513670369315,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
HARD,Minimum Cost to Convert String II,33.4,0.005956225397288234,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph Theory, Trie, Shortest Path"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,33.4,0.0060279858839529625,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union-Find, Sorting"
HARD,Verbal Arithmetic Puzzle,33.4,0.0033417740373873545,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
HARD,Minimum Time to Visit a Cell In a Grid,33.4,0.0056181882031279395,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Design Hit Counter,33.4,0.006972108961127437,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Find K Closest Elements,33.4,0.004979464839835289,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Subarray,33.4,0.005347367999222396,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,33.4,0.004912149197054959,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Design Add and Search Words Data Structure,33.4,0.004864357812236343,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Count Vowel Strings in Ranges,33.4,0.006785865048479651,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,33.4,0.008300863162001364,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
HARD,Wildcard Matching,33.4,0.0032205460622832453,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Design a Food Rating System,33.4,0.005287043031886604,https://leetcode.com/problems/design-a-food-rating-system,"Array, Hash Table, String, Design, Heap (Priority Queue), Ordered Set"
