Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.006002801814838089,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Stock Price Fluctuation ,94.9,0.004910788735828355,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
HARD,All O`one Data Structure,91.9,0.004434144965286984,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Snake Game,88.4,0.0040037226477332,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Merge Intervals,82.8,0.0052116492453963435,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,High-Access Employees,75.7,0.004759291313097198,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,73.7,0.006956351304276016,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Meeting Rooms II,70.3,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Number of Possible Sets of Closing Branches,64.4,0.005135487350020222,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph Theory, Heap (Priority Queue), Enumeration, Shortest Path"
MEDIUM,Word Search,64.4,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Find the Width of Columns of a Grid,64.4,0.007051046764545948,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Text Justification,62.6,0.005138932790173787,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,62.6,0.0060279858839529625,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union-Find, Sorting"
MEDIUM,Minimum Cost to Convert String I,62.6,0.006316340961686809,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph Theory, Shortest Path"
