Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Search in Rotated Sorted Array,100.0,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Subarrays That Match a Pattern I,93.5,0.006874171690963732,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Rolling Hash, String Matching, Hash Function"
MEDIUM,LRU Cache,93.5,0.004754602248973366,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,85.2,0.004436541677338058,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Median of Two Sorted Arrays,85.2,0.004684476820767883,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,85.2,0.003930100455158156,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Sliding Window Maximum,73.4,0.004889035528486627,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Count Prefix and Suffix Pairs II,73.4,0.0028629813563461693,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
EASY,Count Prefix and Suffix Pairs I,73.4,0.007778237320808188,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
EASY,Number of Changing Keys,73.4,0.008078938112075827,https://leetcode.com/problems/number-of-changing-keys,String
EASY,Distribute Elements Into Two Arrays I,73.4,0.007415795158835371,https://leetcode.com/problems/distribute-elements-into-two-arrays-i,"Array, Simulation"
HARD,Distribute Elements Into Two Arrays II,73.4,0.003090559499661934,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,"Array, Binary Indexed Tree, Segment Tree, Simulation"
HARD,Number of Subarrays That Match a Pattern II,73.4,0.0033921559461480926,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,"Array, Rolling Hash, String Matching, Hash Function"
MEDIUM,Product of Array Except Self,73.4,0.006900149580440774,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Reverse Nodes in k-Group,73.4,0.0066421826646743875,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Linked List Cycle,73.4,0.00545499967850446,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Majority Element,73.4,0.006637444404374115,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Spiral Matrix,73.4,0.005707360434108166,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Koko Eating Bananas,73.4,0.005015269123395595,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Maximum Subarray,73.4,0.005347367999222396,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Set Matrix Zeroes,73.4,0.006317498371335505,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Elimination Game,73.4,0.00465354878744172,https://leetcode.com/problems/elimination-game,"Math, Recursion"
MEDIUM,Sort Colors,73.4,0.0069875274633268945,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Two Sum,73.4,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Linked List Cycle II,73.4,0.0058311472034578435,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Group Anagrams,73.4,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Palindromic Substring,73.4,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,73.4,0.006903910470343683,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
