Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimize Malware Spread,100.0,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Car Fleet,91.5,0.005526878939853982,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Bitwise ORs of Subarrays,91.5,0.0056908940982447875,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
MEDIUM,Kth Largest Element in an Array,91.5,0.006903910470343683,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,79.5,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Sum of Distances,79.5,0.005031597606913362,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
MEDIUM,Minimize Length of Array Using Operations,79.5,0.003592285725777259,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
HARD,Count Visited Nodes in a Directed Graph,79.5,0.0031034047388577924,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Depth-First Search, Graph Theory, Topological Sort, Memoization"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,79.5,0.004146803203115127,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
HARD,Find the Count of Monotonic Pairs II,79.5,0.0024805415560790866,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
MEDIUM,3Sum,79.5,0.003930100455158156,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Count Number of Maximum Bitwise-OR Subsets,79.5,0.0089506544171825,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,"Array, Backtracking, Bit Manipulation, Enumeration"
EASY,Best Time to Buy and Sell Stock,79.5,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Sorted Array,79.5,0.005509617267494653,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Palindromic Substrings,79.5,0.007292129526352094,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
HARD,Count Good Subarrays,79.5,0.00253258644834644,https://leetcode.com/problems/count-good-subarrays,"Array, Stack, Bit Manipulation, Monotonic Stack"
