Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,100.0,0.004146803203115127,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
HARD,Count Visited Nodes in a Directed Graph,100.0,0.0031034047388577924,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Depth-First Search, Graph Theory, Topological Sort, Memoization"
MEDIUM,Sum of Distances,100.0,0.005031597606913362,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
MEDIUM,Minimize Length of Array Using Operations,100.0,0.003592285725777259,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
HARD,Minimize Malware Spread,77.8,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Car Fleet,70.8,0.005526878939853982,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Bitwise ORs of Subarrays,70.8,0.0056908940982447875,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
MEDIUM,Kth Largest Element in an Array,70.8,0.006903910470343683,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,61.0,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Find the Count of Monotonic Pairs II,61.0,0.0024805415560790866,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
MEDIUM,3Sum,61.0,0.003930100455158156,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Count Number of Maximum Bitwise-OR Subsets,61.0,0.0089506544171825,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets,"Array, Backtracking, Bit Manipulation, Enumeration"
EASY,Merge Sorted Array,61.0,0.005509617267494653,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,61.0,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Palindromic Substrings,61.0,0.007292129526352094,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,61.0,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Count Good Subarrays,61.0,0.00253258644834644,https://leetcode.com/problems/count-good-subarrays,"Array, Stack, Bit Manipulation, Monotonic Stack"
