Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Maximum Path Sum,100.0,0.004242987230763976,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring with At Least K Repeating Characters,100.0,0.004638984661492916,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,"Hash Table, String, Divide and Conquer, Sliding Window"
MEDIUM,Integer Replacement,100.0,0.0037641250195482668,https://leetcode.com/problems/integer-replacement,"Dynamic Programming, Greedy, Bit Manipulation, Memoization"
HARD,Split Array Largest Sum,100.0,0.006072009412564896,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Arithmetic Slices,100.0,0.006483285650797178,https://leetcode.com/problems/arithmetic-slices,"Array, Dynamic Programming, Sliding Window"
HARD,Arithmetic Slices II - Subsequence,100.0,0.005511329928551162,https://leetcode.com/problems/arithmetic-slices-ii-subsequence,"Array, Dynamic Programming"
HARD,Zuma Game,100.0,0.002952477151542817,https://leetcode.com/problems/zuma-game,"String, Dynamic Programming, Stack, Breadth-First Search, Memoization"
MEDIUM,Out of Boundary Paths,100.0,0.004846980112426184,https://leetcode.com/problems/out-of-boundary-paths,Dynamic Programming
HARD,Design In-Memory File System,100.0,0.004833521387501942,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Length of Longest Fibonacci Subsequence,100.0,0.005755050085453854,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,"Array, Hash Table, Dynamic Programming"
MEDIUM,Search a 2D Matrix II,61.9,0.00575018714924806,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
