Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Lexicographically Smallest Generated String,100.0,0.005350690315761659,https://leetcode.com/problems/lexicographically-smallest-generated-string,"String, Greedy, String Matching"
MEDIUM,Double Modular Exponentiation,64.3,0.004819067372865662,https://leetcode.com/problems/double-modular-exponentiation,"Array, Math, Simulation"
EASY,Furthest Point From Origin,64.3,0.007709915249005654,https://leetcode.com/problems/furthest-point-from-origin,"String, Counting"
MEDIUM,Count Submatrices with Top-Left Element and Sum Less Than k,55.9,0.007485693717437194,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,"Array, Matrix, Prefix Sum"
MEDIUM,Mark Elements on Array by Performing Queries,55.9,0.004950379451255108,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Lexicographical Numbers,55.9,0.0076261313702662755,https://leetcode.com/problems/lexicographical-numbers,"Depth-First Search, Trie"
MEDIUM,Number of Islands,55.9,0.006459365868315838,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Second Highest Salary,55.9,0.004735452920446984,https://leetcode.com/problems/second-highest-salary,Database
EASY,Longest Common Prefix,55.9,0.004778147296562657,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Next Greater Element I,55.9,0.007635154967159278,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Reverse Words in a String,55.9,0.005681667473458751,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Minimum Number of Days to Make m Bouquets,55.9,0.005673607725990642,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Array, Binary Search"
