Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,94.5,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,94.5,0.004756646363860969,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Decode String,87.7,0.006278173696244667,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Majority Element,87.7,0.006637444404374115,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Valid Parentheses,78.9,0.004436541677338058,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Rotting Oranges,78.9,0.0058869052896057235,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Coin Change,78.9,0.004863056069497642,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Evaluate Division,78.9,0.006432716470037054,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
MEDIUM,Set Matrix Zeroes,78.9,0.006317498371335505,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Single Number,78.9,0.007786280734988192,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Angle Between Hands of a Clock,78.9,0.00696202268666639,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Group Anagrams,78.9,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Find Pivot Index,78.9,0.006300700853190353,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Longest Palindromic Substring,66.7,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Palindrome,66.7,0.005358813876558438,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Longest Common Prefix,66.7,0.004778147296562657,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Trapping Rain Water,66.7,0.006761507877094043,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Container With Most Water,66.7,0.006024273567805704,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Next Permutation,66.7,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Search in Rotated Sorted Array,66.7,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Valid Triangle Number,66.7,0.005696728718597506,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,"Pow(x, n)",66.7,0.00388420962447217,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,Total Waviness of Numbers in Range II,66.7,0.005662759242560865,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii,"Math, Dynamic Programming"
MEDIUM,Create Binary Tree From Descriptions,66.7,0.008391505612049419,https://leetcode.com/problems/create-binary-tree-from-descriptions,"Array, Hash Table, Tree, Binary Tree"
HARD,Median of Two Sorted Arrays,66.7,0.004684476820767883,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Contains Duplicate II,66.7,0.005145312413466029,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Product of Array Except Self,66.7,0.006900149580440774,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Perfect Squares,66.7,0.005664033370680433,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
MEDIUM,Accounts Merge,66.7,0.0061528361018053,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
EASY,Isomorphic Strings,66.7,0.004856370405751307,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
HARD,Number of Ways to Assign Edge Weights II,66.7,0.007271115723025704,https://leetcode.com/problems/number-of-ways-to-assign-edge-weights-ii,"Array, Math, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,House Robber,66.7,0.005332526027011509,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Image,66.7,0.008027379765803063,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,First Bad Version,66.7,0.004727315831557078,https://leetcode.com/problems/first-bad-version,"Binary Search, Interactive"
MEDIUM,Process String with Special Operations I,66.7,0.0071399312496214186,https://leetcode.com/problems/process-string-with-special-operations-i,"String, Simulation"
MEDIUM,Number of Provinces,66.7,0.007058544636586922,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Permutation in String,66.7,0.004911054656070893,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Design Underground System,66.7,0.007451676155188035,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
EASY,Reverse Linked List,66.7,0.00807083064082764,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Sort Characters By Frequency,66.7,0.007546708328560124,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Koko Eating Bananas,66.7,0.005015269123395595,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Ransom Note,66.7,0.006609247853806067,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
HARD,Candy,66.7,0.004866098630429685,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Swap Nodes in Pairs,66.7,0.006972750424659252,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
