Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,88.1,0.0052116492453963435,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Best Time to Buy and Sell Stock,85.7,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,84.0,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,84.0,0.004436541677338058,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Insert Delete GetRandom O(1),84.0,0.005540958537240421,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Add Two Numbers,83.1,0.004870105285270077,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,83.1,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Word Search,79.1,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Decode String,79.1,0.006278173696244667,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Number of Islands,79.1,0.006459365868315838,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Design Underground System,78.0,0.007451676155188035,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Flatten a Multilevel Doubly Linked List,78.0,0.0063036840405061864,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
HARD,Trapping Rain Water,76.8,0.006761507877094043,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,72.8,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Meeting Rooms II,72.8,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Subarray Sum Equals K,72.8,0.004756646363860969,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
