Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,85.2,0.0052116492453963435,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,84.9,0.006459365868315838,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Insert Delete GetRandom O(1),84.8,0.005540958537240421,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Add Two Numbers,84.3,0.004870105285270077,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,83.8,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,83.4,0.004436541677338058,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,82.2,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,80.6,0.004778147296562657,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Trapping Rain Water,79.2,0.006761507877094043,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,78.5,0.003930100455158156,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Invalid Transactions,78.5,0.003235064503626599,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Flatten a Multilevel Doubly Linked List,78.3,0.0063036840405061864,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
HARD,Median of Two Sorted Arrays,77.6,0.004684476820767883,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Palindromic Substring,77.2,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Majority Element,76.7,0.006637444404374115,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Word Search,75.4,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Valid Anagram,75.4,0.006826513034564854,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Reverse Integer,75.2,0.0032046217029062323,https://leetcode.com/problems/reverse-integer,Math
EASY,Palindrome Number,74.1,0.006069295947061543,https://leetcode.com/problems/palindrome-number,Math
EASY,Merge Sorted Array,74.1,0.005509617267494653,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Decode String,73.8,0.006278173696244667,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Container With Most Water,73.5,0.006024273567805704,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Two Sorted Lists,72.3,0.0068452096442773456,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,71.7,0.006308029080528053,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Consecutive Sequence,71.7,0.004714860426736946,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,LRU Cache,70.7,0.004754602248973366,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Sum Equals K,70.7,0.004756646363860969,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Subsets,69.7,0.008247564019400435,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Roman to Integer,69.3,0.006679182502149349,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,69.3,0.005347367999222396,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Min Stack,69.3,0.005831161184271589,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Next Permutation,69.0,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Search in Rotated Sorted Array,69.0,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Find Peak Element,66.7,0.004703001140698726,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Design Underground System,66.2,0.007451676155188035,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Rotate Image,65.8,0.008027379765803063,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Generate Parentheses,65.4,0.007881138106344736,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Create Hello World Function,64.9,0.00819171599215887,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Group Anagrams,64.5,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,First Unique Character in a String,64.5,0.006571192156138142,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Find First and Last Position of Element in Sorted Array,64.0,0.004912149197054959,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Climbing Stairs,63.5,0.005415747272993031,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Validate Binary Search Tree,63.5,0.0035911519082556663,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Pascal's Triangle,63.5,0.00790887557410839,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Rotate Array,63.5,0.00451033235971753,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Move Zeroes,63.1,0.006398870395078765,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Jump Game,62.5,0.0041065106075722614,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Contains Duplicate,62.5,0.006445874388442661,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Valid Palindrome,62.0,0.005358813876558438,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Meeting Rooms II,62.0,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Single Element in a Sorted Array,62.0,0.005930893530351025,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Koko Eating Bananas,62.0,0.005015269123395595,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Reverse Linked List,61.5,0.00807083064082764,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,4Sum,61.0,0.0040905294182748035,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Word Break II,61.0,0.005572754731136461,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Sort Integers by The Power Value,61.0,0.007177790513902637,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Memoization, Sorting"
EASY,Single Number,60.4,0.007786280734988192,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Sort Colors,59.8,0.0069875274633268945,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Coin Change,59.8,0.004863056069497642,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Check if Array Is Sorted and Rotated,59.8,0.005744904226761909,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
MEDIUM,Spiral Matrix,59.2,0.005707360434108166,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Number of Ships in a Rectangle,59.2,0.0068841005166744955,https://leetcode.com/problems/number-of-ships-in-a-rectangle,"Array, Divide and Conquer, Interactive"
MEDIUM,String to Integer (atoi),58.6,0.0021184139791209588,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Find the Index of the First Occurrence in a String,58.6,0.004682795410945278,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Plus One,58.6,0.005011655734501802,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Binary Tree Vertical Order Traversal,58.6,0.005785787352174959,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
