Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754603276446281,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule,76.7,0.0051649261745200315,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Combination Sum,76.7,0.007670896786317126,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Number of Islands,72.4,0.006459364985129085,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,72.4,0.004697247078884174,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Merge Intervals,72.4,0.005211651011260973,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Shortest Bridge,72.4,0.005955333463255916,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,House Robber,67.2,0.0053325251510229835,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Regular Expression Matching,67.2,0.0031126118336226543,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Maximal Square,67.2,0.00504749540979294,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Top K Frequent Elements,67.2,0.0066704490624006655,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Design Memory Allocator,67.2,0.005030252201521595,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Trapping Rain Water,60.4,0.0067615052722755165,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Search in Rotated Sorted Array,60.4,0.004509753291813297,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Two Sum,60.4,0.0057688957314214325,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Remove Duplicate Letters,60.4,0.005343327252274569,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Smallest Subsequence of Distinct Characters,60.4,0.006361296174458491,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Combination Sum II,60.4,0.005963265998197041,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Rotting Oranges,60.4,0.005886907506764135,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Common Subsequence,60.4,0.005928437798217806,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Add Two Numbers,60.4,0.004870100139256451,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Basic Calculator,60.4,0.004696578048005346,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Maximum Subarray,60.4,0.0053473690708503085,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximum Width of Binary Tree,60.4,0.0045707903746839695,https://leetcode.com/problems/maximum-width-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Multiply Strings,60.4,0.004433636651227199,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Word Ladder,60.4,0.004584384422356812,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Longest Substring Without Repeating Characters,50.8,0.0039299390114416015,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Kth Largest Element in an Array,50.8,0.006903915095828313,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,First Day Where You Have Been in All the Rooms,50.8,0.004049607503824643,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),50.8,0.005540958105482351,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Number of Good Leaf Nodes Pairs,50.8,0.007177675935310448,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Area Rectangle,50.8,0.005540342059379456,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
EASY,Best Time to Buy and Sell Stock,50.8,0.00569631233000607,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Climbing Stairs,50.8,0.005415748520962625,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Trapping Rain Water II,50.8,0.0064097456255593,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
HARD,Shortest Distance from All Buildings,50.8,0.004495227128464706,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Subarray Sum Equals K,50.8,0.004756645037736835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Subsets,50.8,0.008247564947749645,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Longest Repeating Character Replacement,50.8,0.005992797784951412,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Remove Zero Sum Consecutive Nodes from Linked List,50.8,0.0053188276015012905,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,"Hash Table, Linked List"
MEDIUM,Remove K Digits,50.8,0.003708649792225728,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,50.8,0.0038046345626242474,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Merge k Sorted Lists,50.8,0.005981753949316091,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Sort List,50.8,0.0064710359283059495,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Clone Graph,50.8,0.006556118480352769,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Reverse Linked List II,50.8,0.00517433031483586,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Find Peak Element,50.8,0.0047030021429012,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Minimum Swaps to Group All 1's Together II,50.8,0.006568226801936115,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,"Array, Sliding Window"
EASY,Valid Parentheses,50.8,0.004436541875160967,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Find the Length of the Longest Common Prefix,50.8,0.006227331252133824,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Restore IP Addresses,50.8,0.0056300715151728145,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Decode String,50.8,0.006278179408860443,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
