Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754603276446281,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Duplicate Letters,87.2,0.005343327252274569,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Smallest Subsequence of Distinct Characters,87.2,0.006361296174458491,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,First Day Where You Have Been in All the Rooms,85.0,0.004049607503824643,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
MEDIUM,Combination Sum,76.7,0.007670896786317126,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Number of Islands,76.7,0.006459364985129085,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule,76.7,0.0051649261745200315,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Merge Intervals,68.8,0.005211651011260973,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,House Robber,68.8,0.0053325251510229835,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Basic Calculator II,68.8,0.004697247078884174,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Maximal Square,68.8,0.00504749540979294,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Shortest Bridge,68.8,0.005955333463255916,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Two Sum,63.6,0.0057688957314214325,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,63.6,0.0066704490624006655,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
