Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression,100.0,0.006021181084444522,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Islands,96.8,0.006459348936036943,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Encode and Decode Strings,88.7,0.005168987898607261,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
MEDIUM,Merge Intervals,83.4,0.005211656201608022,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Time Based Key-Value Store,76.5,0.0049990712628907715,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Move Zeroes,66.8,0.0063988678360502585,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Trapping Rain Water,66.8,0.006761508054968425,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Squares of a Sorted Array,66.8,0.007385804161290781,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Course Schedule,66.8,0.005164932279730536,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Valid Parentheses,66.8,0.004436543497862905,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Clone Graph,66.8,0.006556133588633776,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
