Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Cameras,100.0,0.004795294259026055,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Find Minimum Cost to Remove Array Elements,87.4,0.002188533627342889,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements,"Array, Dynamic Programming"
MEDIUM,Maximum Number of Subsequences After One Inserting,83.1,0.0032024348752843763,https://leetcode.com/problems/maximum-number-of-subsequences-after-one-inserting,"String, Dynamic Programming, Greedy, Prefix Sum"
HARD,Minimum Number of Taps to Open to Water a Garden,79.7,0.00510158183714239,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximum Points Tourist Can Earn,77.8,0.004780863164938106,https://leetcode.com/problems/maximum-points-tourist-can-earn,"Array, Dynamic Programming, Matrix"
MEDIUM,Find Peak Calling Hours for Each City,75.7,0.0061812200956937804,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
MEDIUM,Minimize Connected Groups by Inserting Interval,75.7,0.005,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,"Array, Binary Search, Sliding Window, Sorting"
HARD,Minimum Runes to Add to Cast Spell,75.7,0.004492440604751621,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,"Array, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Letter Combinations of a Phone Number,73.4,0.0066277790484510594,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Count the Number of Incremovable Subarrays II,73.4,0.004036572147826999,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
HARD,Trapping Rain Water,64.4,0.006761508054968425,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,K-th Smallest in Lexicographical Order,60.4,0.004638167184411184,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
HARD,Minimum Number of Refueling Stops,60.4,0.004158713672617531,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Minimum Size Subarray in Infinite Array,60.4,0.003231763844840205,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Maximum Subsequence Score,60.4,0.005477294016457094,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,House Robber,60.4,0.005332530021937704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Valid Parentheses,60.4,0.004436543497862905,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Majority Element,60.4,0.006637444205236713,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,60.4,0.006226097025218384,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
HARD,Sliding Window Maximum,55.5,0.004889037539032448,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Insert Delete GetRandom O(1),55.5,0.005540958589667051,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Maximum Points After Collecting Coins From All Nodes,55.5,0.0036758312020460358,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Memoization"
MEDIUM,Koko Eating Bananas,55.5,0.0050152659192994374,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Kth Smallest Number in Multiplication Table,55.5,0.00543021068238167,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,"Math, Binary Search"
MEDIUM,Longest String Chain,55.5,0.006316912759574093,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Rotting Oranges,55.5,0.005886901800268844,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Consecutive Sequence,49.2,0.00471485664136315,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Put Marbles in Bags,49.2,0.00720941406978914,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Product Subarray,49.2,0.003657029106172305,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Average Waiting Time,49.2,0.007307525396981951,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
MEDIUM,Max Number of K-Sum Pairs,49.2,0.00571395521435036,https://leetcode.com/problems/max-number-of-k-sum-pairs,"Array, Hash Table, Two Pointers, Sorting"
HARD,Number of Subarrays With AND Value of K,49.2,0.003553465395938326,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
EASY,Relative Sort Array,49.2,0.007527987151643458,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
MEDIUM,Sum Game,49.2,0.004943628773464346,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
