Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Cameras,100.0,0.004795294259026055,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Find Minimum Cost to Remove Array Elements,86.4,0.002188533627342889,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements,"Array, Dynamic Programming"
MEDIUM,Maximum Number of Subsequences After One Inserting,80.7,0.0032024348752843763,https://leetcode.com/problems/maximum-number-of-subsequences-after-one-inserting,"String, Dynamic Programming, Greedy, Prefix Sum"
HARD,Maximum Points After Collecting Coins From All Nodes,79.1,0.0036758312020460358,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Memoization"
MEDIUM,Minimum Size Subarray in Infinite Array,79.1,0.003231763844840205,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Maximum Subsequence Score,79.1,0.005477294016457094,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Minimum Number of Taps to Open to Water a Garden,77.3,0.00510158183714239,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
EASY,Relative Sort Array,75.3,0.007527987151643458,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
HARD,Number of Subarrays With AND Value of K,75.3,0.003553465395938326,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
MEDIUM,Max Number of K-Sum Pairs,75.3,0.00571395521435036,https://leetcode.com/problems/max-number-of-k-sum-pairs,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Sum Game,75.3,0.004943628773464346,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
MEDIUM,Maximum Points Tourist Can Earn,75.3,0.004780863164938106,https://leetcode.com/problems/maximum-points-tourist-can-earn,"Array, Dynamic Programming, Matrix"
MEDIUM,Letter Combinations of a Phone Number,73.2,0.0066277790484510594,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Maximum Strength of K Disjoint Subarrays,73.2,0.0028057193026464317,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,"Array, Dynamic Programming, Prefix Sum"
MEDIUM,Removing Minimum Number of Magic Beans,73.2,0.004472503900156006,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,"Array, Greedy, Sorting, Enumeration, Prefix Sum"
HARD,Find the Sum of the Power of All Subsequences,73.2,0.0038557970198551217,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,"Array, Dynamic Programming"
HARD,Minimum Cost Walk in Weighted Graph,73.2,0.006822558284471465,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union-Find, Graph Theory"
MEDIUM,Minimum Deletions to Make String K-Special,73.2,0.006714467563964116,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Greatest Sum Divisible by Three,73.2,0.005701309942080649,https://leetcode.com/problems/greatest-sum-divisible-by-three,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Query Kth Smallest Trimmed Number,73.2,0.004781768622985888,https://leetcode.com/problems/query-kth-smallest-trimmed-number,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect"
MEDIUM,Equal Row and Column Pairs,73.2,0.007100809141117023,https://leetcode.com/problems/equal-row-and-column-pairs,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Number of Substrings Containing All Three Characters,73.2,0.007380228967538916,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,"Hash Table, String, Sliding Window"
HARD,Maximum Deletions on a String,73.2,0.0036099644419013365,https://leetcode.com/problems/maximum-deletions-on-a-string,"String, Dynamic Programming, Rolling Hash, String Matching, Hash Function"
MEDIUM,Median of a Row Wise Sorted Matrix,73.2,0.007119733670072323,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix,"Array, Binary Search, Matrix"
EASY,Determine the Winner of a Bowling Game,73.2,0.003776676360955229,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,"Array, Simulation"
EASY,Take Gifts From the Richest Pile,73.2,0.007549806875097678,https://leetcode.com/problems/take-gifts-from-the-richest-pile,"Array, Heap (Priority Queue), Simulation"
EASY,Find the Maximum Divisibility Score,73.2,0.005206147285707441,https://leetcode.com/problems/find-the-maximum-divisibility-score,Array
MEDIUM,Shortest String That Contains Three Strings,73.2,0.003194471169264319,https://leetcode.com/problems/shortest-string-that-contains-three-strings,"String, Greedy, Enumeration"
MEDIUM,Find Peak Calling Hours for Each City,73.2,0.0061812200956937804,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
MEDIUM,Minimize Connected Groups by Inserting Interval,73.2,0.005,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,"Array, Binary Search, Sliding Window, Sorting"
HARD,Minimum Runes to Add to Cast Spell,73.2,0.004492440604751621,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,"Array, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Count the Number of Incremovable Subarrays II,70.8,0.004036572147826999,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
HARD,Trapping Rain Water,61.7,0.006761508054968425,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,House Robber,57.7,0.005332530021937704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),57.7,0.005540958589667051,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,K-th Smallest in Lexicographical Order,57.7,0.004638167184411184,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
EASY,Valid Parentheses,57.7,0.004436543497862905,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Majority Element,57.7,0.006637444205236713,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Minimum Number of Refueling Stops,57.7,0.004158713672617531,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,57.7,0.006226097025218384,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
MEDIUM,Maximum Product Subarray,52.7,0.003657029106172305,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Sliding Window Maximum,52.7,0.004889037539032448,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Koko Eating Bananas,52.7,0.0050152659192994374,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Kth Smallest Number in Multiplication Table,52.7,0.00543021068238167,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,"Math, Binary Search"
MEDIUM,Longest String Chain,52.7,0.006316912759574093,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Rotting Oranges,52.7,0.005886901800268844,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Reorganize String,52.7,0.005723980103407708,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Median of Two Sorted Arrays,46.3,0.004684412897817946,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Longest Consecutive Sequence,46.3,0.00471485664136315,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Put Marbles in Bags,46.3,0.00720941406978914,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Average Waiting Time,46.3,0.007307525396981951,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
MEDIUM,Open the Lock,46.3,0.006136945934264408,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Minimum Number of Pushes to Type Word II,46.3,0.007998691344176481,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Find the Smallest Divisor Given a Threshold,46.3,0.006619242325982077,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Heaters,46.3,0.004211217028886229,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Shortest Subarray to be Removed to Make Array Sorted,46.3,0.005133772198286926,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack"
HARD,Consecutive Numbers Sum,46.3,0.004273980248497395,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
MEDIUM,Coin Change II,46.3,0.0059772438142999375,https://leetcode.com/problems/coin-change-ii,"Array, Dynamic Programming"
MEDIUM,K-th Symbol in Grammar,46.3,0.004840538299308095,https://leetcode.com/problems/k-th-symbol-in-grammar,"Math, Bit Manipulation, Recursion"
MEDIUM,Implement Rand10() Using Rand7(),46.3,0.004647679883497716,https://leetcode.com/problems/implement-rand10-using-rand7,"Math, Rejection Sampling, Randomized, Probability and Statistics"
EASY,Excel Sheet Column Title,46.3,0.004677576769553624,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
MEDIUM,Maximize Score of Numbers in Ranges,46.3,0.003586417284937877,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Sum of Subarray Ranges,46.3,0.006139231704301962,https://leetcode.com/problems/sum-of-subarray-ranges,"Array, Stack, Monotonic Stack"
MEDIUM,Asteroid Collision,46.3,0.004821258679434402,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Find Triangular Sum of an Array,46.3,0.008200267076723859,https://leetcode.com/problems/find-triangular-sum-of-an-array,"Array, Math, Simulation, Combinatorics, Number Theory"
MEDIUM,Number of Islands,46.3,0.006459348936036943,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,46.3,0.0047546179851638394,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Cost to Merge Stones,46.3,0.004634342979003761,https://leetcode.com/problems/minimum-cost-to-merge-stones,"Array, Dynamic Programming, Prefix Sum"
MEDIUM,Furthest Building You Can Reach,46.3,0.0050960376365213654,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
MEDIUM,Search a 2D Matrix,46.3,0.005416867092746519,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Unique Paths,37.4,0.006695963712024715,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Best Time to Buy and Sell Stock,37.4,0.005696317756128705,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Basic Calculator II,37.4,0.004697249669718029,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Maximum Performance of a Team,37.4,0.004780980825927147,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Peak Index in a Mountain Array,37.4,0.006677202871160967,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Best Time to Buy and Sell Stock II,37.4,0.00712400103773313,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Number of Ways to Reorder Array to Get Same BST,37.4,0.005414714072262972,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,"Array, Math, Divide and Conquer, Dynamic Programming, Tree, Union-Find, Binary Search Tree, Memoization, Combinatorics, Binary Tree"
HARD,Minimum Number of Visited Cells in a Grid,37.4,0.002393275222767953,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Array, Dynamic Programming, Stack, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix, Monotonic Stack"
MEDIUM,Maximum OR,37.4,0.004329028757460661,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Size Subarray Sum,37.4,0.005199879513804645,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,4Sum,37.4,0.004090523488982153,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Points You Can Obtain from Cards,37.4,0.005789057561872575,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
HARD,Find the Shortest Superstring,37.4,0.004546328911539135,https://leetcode.com/problems/find-the-shortest-superstring,"Array, String, Dynamic Programming, Bit Manipulation, Bitmask"
MEDIUM,Find First and Last Position of Element in Sorted Array,37.4,0.004912154431220029,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Split Array Largest Sum,37.4,0.006072005492471164,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Flatten Nested List Iterator,37.4,0.006574435991685041,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Design A Leaderboard,37.4,0.0068091880211614405,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,Decode Ways,37.4,0.0038134679029047437,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
HARD,Text Justification,37.4,0.0051389288283197245,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Number of Ways to Wear Different Hats to Each Other,37.4,0.0046266317501884695,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Word Search II,37.4,0.0038586271330502348,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Longest Valid Parentheses,37.4,0.0039027700987617213,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Wildcard Matching,37.4,0.003220548493428923,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,37.4,0.003929945534371603,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
