Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Hit Counter,100.0,0.006972115118681569,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Find All Anagrams in a String,95.7,0.00539579428196261,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,IP to CIDR,90.2,0.005372618356468043,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
HARD,Shortest Path in a Grid with Obstacles Elimination,86.9,0.004640256094492777,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,82.9,0.00564555460049331,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Design Tic-Tac-Toe,78.1,0.005874854129429664,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,71.9,0.0049990712628907715,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,RLE Iterator,63.1,0.005933760307107743,https://leetcode.com/problems/rle-iterator,"Array, Design, Counting, Iterator"
MEDIUM,House Robber,63.1,0.005332530021937704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Number of Recent Calls,63.1,0.007861977888750975,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
