Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Most Common Word,100.0,0.004518963106463192,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
MEDIUM,Coin Change,96.3,0.004863063402450141,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Meeting Scheduler,91.7,0.005521452608693391,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
EASY,Valid Word Abbreviation,90.4,0.0037043864383994136,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
EASY,Maximum Depth of N-ary Tree,84.0,0.007364829706958438,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Design Add and Search Words Data Structure,84.0,0.004864366410699306,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Design Circular Queue,79.9,0.00548705073907387,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,71.6,0.006072750629637767,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
MEDIUM,House Robber,67.9,0.005332530021937704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Maximum Vacation Days,57.5,0.004679531279957594,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Sliding Window Median,57.5,0.0039009297623128687,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
HARD,Binary Tree Maximum Path Sum,57.5,0.004242994480156755,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,House Robber II,57.5,0.004507796440839326,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
EASY,Check If It Is a Straight Line,49.2,0.004013006495495019,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Path Sum,49.2,0.005515061720199249,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
