Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Merge k Sorted Lists,100.0,0.005981760274936198,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Two Sum,90.6,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Second Highest Salary,82.3,0.0047354604200323105,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Longest Palindromic Substring,78.7,0.003804637268224361,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,78.7,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,78.7,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,69.3,0.0060242755647826884,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Palindrome Number,62.6,0.006069299006018174,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Managers with at Least 5 Direct Reports,62.6,0.004912057339327497,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Minimum Time to Repair Cars,62.6,0.005950815200921267,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
MEDIUM,Merge Intervals,62.6,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,First Unique Character in a String,62.6,0.006571200597719289,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,3Sum,62.6,0.003930111634096454,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Change Null Values in a Table to the Previous Value,53.3,0.005162417304690403,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
EASY,Longest Common Prefix,53.3,0.004778153593321326,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Rising Temperature,53.3,0.00514915809805222,https://leetcode.com/problems/rising-temperature,Database
HARD,Reverse Pairs,53.3,0.00345900467358561,https://leetcode.com/problems/reverse-pairs,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Edit Distance,53.3,0.006080717957273395,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Coin Change,53.3,0.00486305783417516,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Remove K-Balanced Substrings,53.3,0.003290150412421155,https://leetcode.com/problems/remove-k-balanced-substrings,"String, Stack, Simulation"
EASY,Max Consecutive Ones,53.3,0.006544898958183967,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Kth Largest Element in an Array,53.3,0.0069039141654176454,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Maximum Subarray,53.3,0.005347372108017702,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,53.3,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Nth Highest Salary,53.3,0.003940847403718426,https://leetcode.com/problems/nth-highest-salary,Database
EASY,Remove Duplicates from Sorted Array,53.3,0.006308036898393046,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Roman to Integer,53.3,0.006679189885099658,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Split Array Largest Sum,53.3,0.006072009083412716,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Group Anagrams,53.3,0.00727988601252591,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Consecutive Sequence,53.3,0.004714858570595573,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Customers Who Never Order,53.3,0.007191419761134732,https://leetcode.com/problems/customers-who-never-order,Database
MEDIUM,Rotate Array,53.3,0.0045103303018060375,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Next Permutation,53.3,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
