Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Merge k Sorted Lists,100.0,0.005981760274936198,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Two Sum,96.1,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Change Null Values in a Table to the Previous Value,85.4,0.005162417304690403,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
EASY,Valid Parentheses,77.3,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Second Highest Salary,77.3,0.0047354604200323105,https://leetcode.com/problems/second-highest-salary,Database
EASY,Best Time to Buy and Sell Stock,73.8,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,73.8,0.003804637268224361,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,73.8,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Palindrome Number,64.6,0.006069299006018174,https://leetcode.com/problems/palindrome-number,Math
EASY,Longest Common Prefix,64.6,0.004778153593321326,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Container With Most Water,64.6,0.0060242755647826884,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Managers with at Least 5 Direct Reports,58.1,0.004912057339327497,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Minimum Time to Repair Cars,58.1,0.005950815200921267,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
MEDIUM,Merge Intervals,58.1,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,58.1,0.005347372108017702,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,First Unique Character in a String,58.1,0.006571200597719289,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Nth Highest Salary,58.1,0.003940847403718426,https://leetcode.com/problems/nth-highest-salary,Database
MEDIUM,Group Anagrams,58.1,0.00727988601252591,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,3Sum,58.1,0.003930111634096454,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Remove Duplicates from Sorted Array,58.1,0.006308036898393046,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Add Binary,58.1,0.005817440083330957,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Climbing Stairs,58.1,0.0054157507594008855,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Valid Palindrome,58.1,0.005358818686687192,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Edit Distance,48.9,0.006080717957273395,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Coin Change,48.9,0.00486305783417516,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Rising Temperature,48.9,0.00514915809805222,https://leetcode.com/problems/rising-temperature,Database
EASY,Max Consecutive Ones,48.9,0.006544898958183967,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Kth Largest Element in an Array,48.9,0.0069039141654176454,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Customers Who Never Order,48.9,0.007191419761134732,https://leetcode.com/problems/customers-who-never-order,Database
EASY,Roman to Integer,48.9,0.006679189885099658,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Reverse Pairs,48.9,0.00345900467358561,https://leetcode.com/problems/reverse-pairs,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Longest Consecutive Sequence,48.9,0.004714858570595573,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Remove K-Balanced Substrings,48.9,0.003290150412421155,https://leetcode.com/problems/remove-k-balanced-substrings,"String, Stack, Simulation"
HARD,Split Array Largest Sum,48.9,0.006072009083412716,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Shortest Unsorted Continuous Subarray,48.9,0.0038350908727971863,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack"
