Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Collecting Chocolates,100.0,0.0035125456101626202,https://leetcode.com/problems/collecting-chocolates,"Array, Enumeration"
MEDIUM,Different Ways to Add Parentheses,93.8,0.007337863562333291,https://leetcode.com/problems/different-ways-to-add-parentheses,"Math, String, Dynamic Programming, Recursion, Memoization"
EASY,Longest Common Prefix,85.8,0.004778153593321326,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Find the Maximum Sum of Node Values,85.8,0.006941508737263355,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
HARD,Apply Operations to Maximize Frequency Score,85.8,0.0039212405176260595,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
HARD,Smallest K-Length Subsequence With Occurrences of a Letter,74.5,0.003994054534271851,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,"String, Stack, Greedy, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,74.5,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,74.5,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Pour Water Between Buckets to Make Water Levels Equal,74.5,0.006862337662337662,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal,"Array, Binary Search"
EASY,Minimum Operations to Collect Elements,74.5,0.006252372147340762,https://leetcode.com/problems/minimum-operations-to-collect-elements,"Array, Hash Table, Bit Manipulation"
MEDIUM,The Time When the Network Becomes Idle,74.5,0.005578766337995873,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph Theory"
EASY,Minimum Operations to Make the Array Increasing,74.5,0.008211494334235845,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,"Array, Greedy"
HARD,Maximum Running Time of N Computers,74.5,0.0056409553330154195,https://leetcode.com/problems/maximum-running-time-of-n-computers,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Maximum Coins Heroes Can Collect,74.5,0.006877455207435087,https://leetcode.com/problems/maximum-coins-heroes-can-collect,"Array, Two Pointers, Binary Search, Sorting, Prefix Sum"
EASY,Pascal's Triangle,74.5,0.007908881617544633,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Squares of a Sorted Array,74.5,0.007385806306879349,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Count Increasing Quadruplets,74.5,0.0034490942819729374,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Coin Change,74.5,0.00486305783417516,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,N-Queens II,74.5,0.007887033525181138,https://leetcode.com/problems/n-queens-ii,Backtracking
HARD,Split Array With Same Average,74.5,0.0027142873147287167,https://leetcode.com/problems/split-array-with-same-average,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Bitmask"
