Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Smallest K-Length Subsequence With Occurrences of a Letter,100.0,0.003994054534271851,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,"String, Stack, Greedy, Monotonic Stack"
HARD,Apply Operations to Maximize Frequency Score,100.0,0.0039212405176260595,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
HARD,Find the Maximum Sum of Node Values,100.0,0.006941508737263355,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
MEDIUM,Maximum Coins Heroes Can Collect,97.7,0.006877455207435087,https://leetcode.com/problems/maximum-coins-heroes-can-collect,"Array, Two Pointers, Binary Search, Sorting, Prefix Sum"
MEDIUM,The Time When the Network Becomes Idle,97.7,0.005578766337995873,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph Theory"
HARD,Maximum Running Time of N Computers,97.7,0.0056409553330154195,https://leetcode.com/problems/maximum-running-time-of-n-computers,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Pour Water Between Buckets to Make Water Levels Equal,97.7,0.006862337662337662,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal,"Array, Binary Search"
EASY,Minimum Operations to Make the Array Increasing,97.7,0.008211494334235845,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing,"Array, Greedy"
EASY,Minimum Operations to Collect Elements,97.7,0.006252372147340762,https://leetcode.com/problems/minimum-operations-to-collect-elements,"Array, Hash Table, Bit Manipulation"
MEDIUM,Collecting Chocolates,85.1,0.0035125456101626202,https://leetcode.com/problems/collecting-chocolates,"Array, Enumeration"
MEDIUM,Different Ways to Add Parentheses,75.2,0.007337863562333291,https://leetcode.com/problems/different-ways-to-add-parentheses,"Math, String, Dynamic Programming, Recursion, Memoization"
EASY,Longest Common Prefix,68.1,0.004778153593321326,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Two Sum,58.2,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,58.2,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Squares of a Sorted Array,58.2,0.007385806306879349,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,N-Queens II,58.2,0.007887033525181138,https://leetcode.com/problems/n-queens-ii,Backtracking
EASY,Pascal's Triangle,58.2,0.007908881617544633,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Split Array With Same Average,58.2,0.0027142873147287167,https://leetcode.com/problems/split-array-with-same-average,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Count Increasing Quadruplets,58.2,0.0034490942819729374,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Coin Change,58.2,0.00486305783417516,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Reverse Words in a String,58.2,0.005681674214187498,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
