Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Authentication Manager,100.0,0.005866809047665276,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Count Non Decreasing Arrays With Given Digit Sums,100.0,0.0041824,https://leetcode.com/problems/count-non-decreasing-arrays-with-given-digit-sums,"Array, Dynamic Programming, Prefix Sum"
MEDIUM,Implement Trie (Prefix Tree),87.6,0.0069663682880877886,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Find Maximum Area of a Triangle,87.6,0.002967916357633323,https://leetcode.com/problems/find-maximum-area-of-a-triangle,"Array, Hash Table, Math, Greedy, Geometry, Enumeration"
MEDIUM,Longest Substring Without Repeating Characters,81.7,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,81.7,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,81.7,0.0047546181609751294,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),81.7,0.005540963928022855,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Search Suggestions System,81.7,0.006518421075557338,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Top K Frequent Elements,74.1,0.006670453869070502,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Find Median from Data Stream,74.1,0.005463248886694082,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Inorder Successor in BST,74.1,0.005123031266386096,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Integer to Roman,74.1,0.007117952119797315,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Number of Islands,74.1,0.00645934521515779,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Logger Rate Limiter,74.1,0.007685514245352842,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Group Anagrams,74.1,0.00727988601252591,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Copy List with Random Pointer,63.4,0.006314241890586832,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Excel Sheet Column Number,63.4,0.006794754886315669,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Shortest Bridge,63.4,0.00595535916658017,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Count Good Nodes in Binary Tree,63.4,0.007389285986510976,https://leetcode.com/problems/count-good-nodes-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Number of Atoms,63.4,0.006512246922828646,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,House Robber II,63.4,0.004507798354009811,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Meeting Rooms II,63.4,0.005272299415807636,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,House Robber III,63.4,0.005601638593367844,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Cost to Make at Least One Valid Path in a Grid,63.4,0.007102587162487189,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,"Array, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Longest Repeating Character Replacement,63.4,0.005992792690831644,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Word Ladder,63.4,0.004584401787272201,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Merge Two Sorted Lists,63.4,0.006845212679462791,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Task Scheduler,63.4,0.0063289910619776756,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Spiral Matrix IV,63.4,0.008231701091564457,https://leetcode.com/problems/spiral-matrix-iv,"Array, Linked List, Matrix, Simulation"
MEDIUM,Find All Possible Recipes from Given Supplies,63.4,0.005696989045443066,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph Theory, Topological Sort"
MEDIUM,Binary Tree Level Order Traversal,63.4,0.007290309138300687,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Trapping Rain Water,63.4,0.006761506153953647,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Maximum Profit in Job Scheduling,63.4,0.005477632342560363,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
