Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.006404498051101802,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,92.9,0.005674732424627451,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
HARD,Binary Tree Maximum Path Sum,92.0,0.004242996984708631,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Search Suggestions System,83.0,0.006518421075557338,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Maximum Profit in Job Scheduling,77.5,0.005477632342560363,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Koko Eating Bananas,75.9,0.0050152659008602715,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Single-Threaded CPU,73.5,0.004777278434015549,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Design File System,71.5,0.006514262579197091,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,Shortest Distance from All Buildings,70.8,0.004495227128464706,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
EASY,Check if One String Swap Can Make Strings Equal,67.6,0.004952399164298741,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Most Profit Assigning Work,66.7,0.0056241781432247095,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
HARD,Design In-Memory File System,65.8,0.004833522512296632,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
EASY,Buddy Strings,65.8,0.003407801365736321,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
MEDIUM,Next Greater Element III,64.8,0.003540402177993495,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Find K Closest Elements,64.8,0.004979476812225798,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,64.8,0.008254242847597643,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
HARD,Making A Large Island,62.6,0.005679376950632456,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Count Nodes With the Highest Score,60.0,0.0052820620647858404,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
HARD,Vertical Order Traversal of a Binary Tree,51.5,0.005404394199486411,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,51.5,0.007004020439395119,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
MEDIUM,Implement Trie (Prefix Tree),51.5,0.0069663682880877886,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,01 Matrix,51.5,0.0054208451846002245,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Next Permutation,49.2,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Largest Rectangle in Histogram,49.2,0.005018771565913117,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Basic Calculator,49.2,0.0046965815089286414,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Course Schedule II,49.2,0.005574036955046273,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Max Area of Island,49.2,0.0074064272079134305,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Minimum Size Subarray Sum,49.2,0.005199884627400033,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Two Sum,46.5,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Basic Calculator II,46.5,0.004697252260549352,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Basic Calculator III,46.5,0.005341223881607911,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
HARD,Serialize and Deserialize Binary Tree,46.5,0.006096477245655803,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Longest Common Subsequence,46.5,0.005928430447149188,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Asteroid Collision,43.3,0.004821263389783335,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Best Meeting Point,43.3,0.006146239851426133,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Word Search II,43.3,0.0038586296968727944,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,132 Pattern,43.3,0.0034858545974922194,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
HARD,Sliding Window Maximum,39.4,0.004889038984636211,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Count All Valid Pickup and Delivery Options,39.4,0.006487298840381012,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Number of Islands,39.4,0.00645934521515779,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Ways to Make a Fair Array,39.4,0.006714570243295883,https://leetcode.com/problems/ways-to-make-a-fair-array,"Array, Prefix Sum"
HARD,Minimize Malware Spread,39.4,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Sliding Window Median,39.4,0.0039009297623128687,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Course Schedule,39.4,0.00516493302418091,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Sudoku Solver,34.4,0.006558554635143422,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Jump Game,34.4,0.004106515466449163,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
