Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.006404498051101802,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,92.5,0.005674732424627451,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
HARD,Binary Tree Maximum Path Sum,91.4,0.004242996984708631,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Search Suggestions System,82.2,0.006518421075557338,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Maximum Profit in Job Scheduling,78.1,0.005477632342560363,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Koko Eating Bananas,75.6,0.0050152659008602715,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Single-Threaded CPU,75.1,0.004777278434015549,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Design File System,72.1,0.006514262579197091,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,Shortest Distance from All Buildings,70.7,0.004495227128464706,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
EASY,Check if One String Swap Can Make Strings Equal,66.8,0.004952399164298741,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Most Profit Assigning Work,65.9,0.0056241781432247095,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Next Greater Element III,65.0,0.003540402177993495,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
HARD,Design In-Memory File System,65.0,0.004833522512296632,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
EASY,Buddy Strings,65.0,0.003407801365736321,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,64.0,0.008254242847597643,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Find K Closest Elements,64.0,0.004979476812225798,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
HARD,Making A Large Island,61.8,0.005679376950632456,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Basic Calculator III,60.5,0.005341223881607911,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Count Nodes With the Highest Score,59.2,0.0052820620647858404,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
HARD,Count All Valid Pickup and Delivery Options,57.8,0.006487298840381012,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Interval List Intersections,54.6,0.00730671065109053,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
EASY,Immediate Food Delivery I,54.6,0.008060688075782023,https://leetcode.com/problems/immediate-food-delivery-i,Database
MEDIUM,Immediate Food Delivery II,54.6,0.0056238886810269575,https://leetcode.com/problems/immediate-food-delivery-ii,Database
