Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Asteroid Collision,100.0,0.004821263389783335,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Furthest Building You Can Reach,86.3,0.0050960376365213654,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
EASY,Final Prices With a Special Discount in a Shop,75.5,0.008421040221178164,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
MEDIUM,Number of Ways to Select Buildings,75.5,0.005096256185230137,https://leetcode.com/problems/number-of-ways-to-select-buildings,"String, Dynamic Programming, Prefix Sum"
HARD,Minimum Number of Increments on Subarrays to Form a Target Array,75.5,0.00782226430407142,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
MEDIUM,3Sum,75.5,0.003930111634096454,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Partition Equal Subset Sum,75.5,0.004963692161812381,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,Gas Station,75.5,0.0048194635136321416,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,75.5,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Rotting Oranges,75.5,0.005886900581258701,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,3Sum Closest,75.5,0.0048756622963769996,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Falling Path Sum,75.5,0.0060849917883866785,https://leetcode.com/problems/minimum-falling-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Container With Most Water,75.5,0.0060242755647826884,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
