Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Simple Bank System,100.0,0.006966624704013428,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Guess the Word,86.5,0.0036681743870377475,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Interactive, Game Theory"
HARD,Minimize Malware Spread,74.7,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Web Crawler,74.7,0.006878582907581972,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Web Crawler Multithreaded,74.7,0.005124390602125372,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
MEDIUM,Find Duplicate File in System,65.4,0.006749766376269858,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
EASY,Two Sum,65.4,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Number of Valid Words for Each Puzzle,65.4,0.004792788162415127,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,"Array, Hash Table, String, Bit Manipulation, Trie"
MEDIUM,Game of Life,65.4,0.007272360944925729,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
HARD,Median of Two Sorted Arrays,65.4,0.0046844028975639275,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Word Pattern,65.4,0.004423883597809439,https://leetcode.com/problems/word-pattern,"Hash Table, String"
MEDIUM,Word Pattern II,65.4,0.004884913307552056,https://leetcode.com/problems/word-pattern-ii,"Hash Table, String, Backtracking"
MEDIUM,Seat Reservation Manager,65.4,0.006727893396948603,https://leetcode.com/problems/seat-reservation-manager,"Design, Heap (Priority Queue)"
HARD,Minimize Malware Spread II,65.4,0.00456781044550014,https://leetcode.com/problems/minimize-malware-spread-ii,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Design Hit Counter,65.4,0.006972115118681569,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
HARD,Word Break II,65.4,0.005572759913494938,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Letter Combinations of a Phone Number,65.4,0.006627781223163166,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Grid Illumination,65.4,0.003948910806783509,https://leetcode.com/problems/grid-illumination,"Array, Hash Table"
HARD,Design a Text Editor,65.4,0.005100481628656336,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Check If It Is a Good Array,65.4,0.006509436852748329,https://leetcode.com/problems/check-if-it-is-a-good-array,"Array, Math, Number Theory"
MEDIUM,Merge Intervals,65.4,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
