Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Letter Combinations of a Phone Number,100.0,0.006627781223163166,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Spiral Matrix,98.5,0.005707367428375291,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Additive Number,96.9,0.0033989644801673746,https://leetcode.com/problems/additive-number,"String, Backtracking"
EASY,Valid Parentheses,89.0,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Word Search,76.3,0.00475874129257326,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Angle Between Hands of a Clock,76.3,0.006962051942588404,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
EASY,Self Dividing Numbers,71.5,0.008093020329995482,https://leetcode.com/problems/self-dividing-numbers,Math
MEDIUM,Stepping Numbers,56.5,0.004858384087908343,https://leetcode.com/problems/stepping-numbers,"Math, Backtracking, Breadth-First Search"
MEDIUM,Bulls and Cows,56.5,0.005261801194067167,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
EASY,Two Sum,56.5,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Permutations,56.5,0.00820508355776795,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Longest Palindromic Substring,56.5,0.003804637268224361,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Palindromic Substrings,56.5,0.007292139348598201,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Count Primes,56.5,0.003617581462434185,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
