Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Additive Number,100.0,0.0033989644801673746,https://leetcode.com/problems/additive-number,"String, Backtracking"
MEDIUM,Letter Combinations of a Phone Number,89.7,0.006627781223163166,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Spiral Matrix,89.7,0.005707367428375291,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Self Dividing Numbers,85.3,0.008093020329995482,https://leetcode.com/problems/self-dividing-numbers,Math
EASY,Valid Parentheses,83.5,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Stepping Numbers,81.6,0.004858384087908343,https://leetcode.com/problems/stepping-numbers,"Math, Backtracking, Breadth-First Search"
MEDIUM,Angle Between Hands of a Clock,71.3,0.006962051942588404,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Word Search,67.7,0.00475874129257326,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Bulls and Cows,57.4,0.005261801194067167,https://leetcode.com/problems/bulls-and-cows,"Hash Table, String, Counting"
EASY,Two Sum,57.4,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Count Primes,57.4,0.003617581462434185,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Palindromic Substrings,49.3,0.007292139348598201,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Permutations,49.3,0.00820508355776795,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Longest Palindromic Substring,49.3,0.003804637268224361,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Longest Increasing Path in a Matrix,49.3,0.005674732424627451,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
