Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Remove Duplicate Letters,100.0,0.005343332680543121,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
EASY,Valid Parentheses,84.3,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Minimum Number of Chairs in a Waiting Room,84.3,0.007945269827397858,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,"String, Simulation"
MEDIUM,Maximum Palindromes After Operations,84.3,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Longest Substring Without Repeating Characters,76.2,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,76.2,0.00727988601252591,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,76.2,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find the Smallest Divisor Given a Threshold,76.2,0.006619242325982077,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Valid Triangle Number,76.2,0.005696741900700877,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,The kth Factor of n,76.2,0.007044069464259359,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
HARD,Trapping Rain Water,76.2,0.006761506153953647,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Number of Visible People in a Queue,76.2,0.007325146154223353,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,76.2,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Roman to Integer,76.2,0.006679189885099658,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Count Vowel Substrings of a String,76.2,0.0073248296828071205,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Flip String to Monotone Increasing,76.2,0.006190870759111,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming"
MEDIUM,Number of Islands,76.2,0.00645934521515779,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
