Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find the Smallest Divisor Given a Threshold,100.0,0.006619242325982077,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,The kth Factor of n,95.6,0.007044069464259359,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Valid Triangle Number,95.6,0.005696741900700877,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,The Earliest Moment When Everyone Become Friends,93.2,0.0066101686746987956,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
MEDIUM,Minimum Swaps to Group All 1's Together,93.2,0.0061251253726831816,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Break a Palindrome,93.2,0.005160573288155173,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,Unique Substrings With Equal Digit Frequency,93.2,0.0064632258064516125,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
EASY,Valid Word,93.2,0.005087996979641622,https://leetcode.com/problems/valid-word,String
HARD,Minimum Replacements to Sort the Array,93.2,0.005312808727395024,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,String Compression,93.2,0.0060211853588244294,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Divide Players Into Teams of Equal Skill,93.2,0.006892987740382194,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Rearrange Words in a Sentence,93.2,0.006718117434840984,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
MEDIUM,Number of Good Binary Strings,93.2,0.005294356750897635,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
EASY,Most Visited Sector in  a Circular Track,93.2,0.006004469571394742,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
HARD,Minimum One Bit Operations to Make Integers Zero,93.2,0.00783265837895426,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Math, Dynamic Programming, Bit Manipulation, Recursion, Memoization"
MEDIUM,Remove Duplicate Letters,83.9,0.005343332680543121,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Group Anagrams,79.8,0.00727988601252591,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,79.8,0.0052116547741606,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Remove Stones to Minimize the Total,75.1,0.0065838801577592036,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
EASY,Valid Parentheses,69.3,0.004436545604610543,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Minimum Number of Chairs in a Waiting Room,69.3,0.007945269827397858,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,"String, Simulation"
EASY,Two Sum,69.3,0.005768899030607455,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Count Vowel Substrings of a String,69.3,0.0073248296828071205,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Maximum Palindromes After Operations,69.3,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Find Pivot Index,69.3,0.0063007157115873265,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Count and Say,69.3,0.006312769813361002,https://leetcode.com/problems/count-and-say,String
HARD,Sliding Window Maximum,69.3,0.004889038984636211,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Substring Without Repeating Characters,61.8,0.0039299463855306475,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,61.8,0.005696316082275837,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,House Robber,61.8,0.005332529048814276,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Number of Islands,61.8,0.00645934521515779,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Trapping Rain Water,61.8,0.006761506153953647,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Roman to Integer,61.8,0.006679189885099658,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,LRU Cache,61.8,0.0047546181609751294,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Number of Visible People in a Queue,61.8,0.007325146154223353,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Flip String to Monotone Increasing,61.8,0.006190870759111,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming"
MEDIUM,Reorganize String,61.8,0.005723980103407708,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,61.8,0.004146803203115127,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,51.4,0.007803688128035472,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
EASY,Find the Index of the First Occurrence in a String,51.4,0.004682790729496587,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Degree of an Array,51.4,0.0058448349005119585,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Rotting Oranges,51.4,0.005886900581258701,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Container With Most Water,51.4,0.0060242755647826884,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Generate Parentheses,51.4,0.007881145437859454,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Verify Preorder Sequence in Binary Search Tree,51.4,0.005179634819161048,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
MEDIUM,Kth Smallest Element in a BST,51.4,0.007697084497450759,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Word Ladder,51.4,0.004584401787272201,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Cheapest Flights Within K Stops,51.4,0.004204842837897525,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
EASY,Minimum Value to Get Positive Step by Step Sum,51.4,0.006477908924596091,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
MEDIUM,Maximum Points You Can Obtain from Cards,51.4,0.0057890710045256375,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,51.4,0.006627781223163166,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,K-diff Pairs in an Array,51.4,0.004604651261197599,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Reformat Date,51.4,0.006864207601166857,https://leetcode.com/problems/reformat-date,String
MEDIUM,Maximum Number of Events That Can Be Attended,51.4,0.003900875718857934,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Max Area of Island,51.4,0.0074064272079134305,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,51.4,0.004697252260549352,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,LFU Cache,51.4,0.004951330792763133,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Validate Binary Search Tree,51.4,0.0035911550357132895,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Maximum Frequency Stack,51.4,0.00668842588195338,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
MEDIUM,Koko Eating Bananas,51.4,0.0050152659008602715,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Search in Rotated Sorted Array,51.4,0.00450975113189511,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Capacity To Ship Packages Within D Days,51.4,0.007414279797019523,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Palindrome Pairs,51.4,0.003729360767134523,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
MEDIUM,Max Consecutive Ones III,51.4,0.00679066688746158,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
