Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points You Can Obtain from Cards,100.0,0.00578907548539092,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Transform Array to All Equal Elements,97.3,0.003334437793929029,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy"
MEDIUM,Container With Most Water,94.4,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Koko Eating Bananas,91.1,0.005015268911300806,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Gas Station,91.1,0.004819461841397616,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Rotting Oranges,87.4,0.005886900775571508,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,83.1,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Largest Rectangle in Histogram,83.1,0.005018771542638927,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Two Sum,78.0,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Search in Rotated Sorted Array,78.0,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Cherry Pickup II,71.8,0.007249714916916517,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Cut Off Trees for Golf Event,71.8,0.0036527718821631715,https://leetcode.com/problems/cut-off-trees-for-golf-event,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,71.8,0.007201377217077725,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
MEDIUM,Next Permutation,71.8,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
