Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points You Can Obtain from Cards,100.0,0.00578907548539092,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
MEDIUM,Minimum Number of Coins to be Added,84.3,0.005828699022581732,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,"Array, Greedy, Sorting"
HARD,Design Movie Rental System,84.3,0.006218310452286701,https://leetcode.com/problems/design-movie-rental-system,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set"
HARD,The Score of Students Solving Math Expression,82.0,0.0034454714817999423,https://leetcode.com/problems/the-score-of-students-solving-math-expression,"Array, Hash Table, Math, String, Dynamic Programming, Stack, Memoization"
MEDIUM,Minimum Cost to Reach City With Discounts,82.0,0.00610462962962963,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,"Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Numbers With Same Consecutive Differences,82.0,0.0059256747389285856,https://leetcode.com/problems/numbers-with-same-consecutive-differences,"Backtracking, Breadth-First Search"
HARD,Triples with Bitwise AND Equal To Zero,82.0,0.006009554821381884,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,"Array, Hash Table, Bit Manipulation"
MEDIUM,Minimum Limit of Balls in a Bag,82.0,0.006618715968089149,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
MEDIUM,Rotting Oranges,82.0,0.005886900775571508,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Transform Array to All Equal Elements,82.0,0.003334437793929029,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy"
MEDIUM,Container With Most Water,79.5,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Trapping Rain Water,76.6,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Koko Eating Bananas,76.6,0.005015268911300806,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Gas Station,76.6,0.004819461841397616,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Find The Least Frequent Digit,76.6,0.006972860125260961,https://leetcode.com/problems/find-the-least-frequent-digit,"Array, Hash Table, Math, Counting"
EASY,Two Sum,69.7,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Largest Rectangle in Histogram,69.7,0.005018771542638927,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Search in Rotated Sorted Array,65.2,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,59.9,0.006903915321782457,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Create Maximum Number,59.9,0.00357406922131065,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Asteroid Collision,59.9,0.004821263389783335,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Cherry Pickup II,59.9,0.007249714916916517,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Cut Off Trees for Golf Event,59.9,0.0036527718821631715,https://leetcode.com/problems/cut-off-trees-for-golf-event,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
HARD,Find Median from Data Stream,59.9,0.005463248886694082,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,59.9,0.007201377217077725,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
MEDIUM,Sum of Subarray Minimums,59.9,0.003872964334214615,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Next Permutation,59.9,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Unique Paths,59.9,0.006695965174698262,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Rectangle Area II,59.9,0.0056282220131702735,https://leetcode.com/problems/rectangle-area-ii,"Array, Segment Tree, Sweep Line, Ordered Set"
HARD,Contain Virus,59.9,0.005505329761158296,https://leetcode.com/problems/contain-virus,"Array, Depth-First Search, Breadth-First Search, Matrix, Simulation"
MEDIUM,Pacific Atlantic Water Flow,59.9,0.006109922270243678,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Edit Distance,53.0,0.006080719544308042,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Dungeon Game,53.0,0.004155048610352312,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
MEDIUM,Course Schedule,53.0,0.005164931577284526,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Amount of Time for Binary Tree to Be Infected,53.0,0.006560037857836449,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Subarray Sum Equals K,53.0,0.00475665051610676,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximum Width of Binary Tree,53.0,0.004570808236030924,https://leetcode.com/problems/maximum-width-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Minimum Area Rectangle,53.0,0.005540342059379456,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
MEDIUM,Capacity To Ship Packages Within D Days,53.0,0.007414279797019523,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
