Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Largest Palindromic Number,100.0,0.003723564495538639,https://leetcode.com/problems/largest-palindromic-number,"Hash Table, String, Greedy, Counting"
MEDIUM,Maximum Number of Potholes That Can Be Fixed,100.0,0.005343686354378818,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"String, Greedy, Sorting"
MEDIUM,Cinema Seat Allocation,90.7,0.004469476550196194,https://leetcode.com/problems/cinema-seat-allocation,"Array, Hash Table, Greedy, Bit Manipulation"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,87.6,0.006374184174282618,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Number of Spaces Cleaning Robot Cleaned,79.8,0.0064564007421150284,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Array, Matrix, Simulation"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,79.8,0.004842712392829306,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Coin Change,79.8,0.0048630532109969725,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,79.8,0.006227191256243028,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
HARD,First Missing Positive,68.1,0.004311791209880479,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Path With Maximum Minimum Value,68.1,0.005472346169710151,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
MEDIUM,Merge Intervals,68.1,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Valid Sudoku,58.8,0.006467046798084691,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Longest Happy String,58.8,0.006550294811320755,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Minimum Moves to Spread Stones Over Grid,58.8,0.004580756013745704,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Matrix, Bitmask"
MEDIUM,Best Time to Buy and Sell Stock II,58.8,0.0071240027110163985,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Remove All Adjacent Duplicates In String,58.8,0.0073456627223624305,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Integer to Roman,58.8,0.007117953992309961,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Remove All Occurrences of a Substring,58.8,0.007855190655882248,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
