Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,High Five,71.8,0.0074194989191088455,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Fraction to Recurring Decimal,71.8,0.0031024074824220183,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,65.7,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,String Compression,65.7,0.006021189690848487,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,First Unique Character in a String,57.0,0.006571211647968752,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Robot Return to Origin,57.0,0.007814395447949426,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
MEDIUM,Container With Most Water,57.0,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Find the Winner of the Circular Game,57.0,0.00822800352772101,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,LRU Cache,57.0,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Design HashMap,57.0,0.00666603257902495,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Daily Temperatures,57.0,0.006882756797542333,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Valid Arrangement of Pairs,57.0,0.006660021359914561,https://leetcode.com/problems/valid-arrangement-of-pairs,"Array, Depth-First Search, Graph Theory, Eulerian Circuit"
MEDIUM,Longest Substring Without Repeating Characters,57.0,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find the Winner of an Array Game,57.0,0.0056861634518898425,https://leetcode.com/problems/find-the-winner-of-an-array-game,"Array, Simulation"
