Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,78.7,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,High Five,76.2,0.0074194989191088455,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Container With Most Water,73.4,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Fraction to Recurring Decimal,73.4,0.0031024074824220183,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,String Compression,73.4,0.006021189690848487,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Minimum Path Sum,70.2,0.0068413296164418465,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
EASY,First Unique Character in a String,66.4,0.006571211647968752,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Merge Intervals,61.8,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Initial Energy to Finish Tasks,61.8,0.007643405051449953,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,"Array, Greedy, Sorting"
EASY,Best Time to Buy and Sell Stock,55.8,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,55.8,0.0039301112894111895,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Robot Return to Origin,55.8,0.007814395447949426,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
EASY,Sqrt(x),55.8,0.004196745652843808,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Number of Islands,55.8,0.006459346033141788,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Design HashMap,55.8,0.00666603257902495,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,LRU Cache,55.8,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,55.8,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Max Area of Island,47.4,0.007406424394885547,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,47.4,0.005347372327007454,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Top K Frequent Elements,47.4,0.006670456880930464,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Minimum Window Substring,47.4,0.004780050662258764,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,47.4,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search in Rotated Sorted Array,47.4,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths,47.4,0.006695965174698262,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Shortest Bridge,47.4,0.00595535916658017,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Roman to Integer,47.4,0.006679187279950676,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Daily Temperatures,47.4,0.006882756797542333,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Find the Winner of the Circular Game,47.4,0.00822800352772101,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
EASY,Pascal's Triangle,47.4,0.007908882221886335,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Valid Arrangement of Pairs,47.4,0.006660021359914561,https://leetcode.com/problems/valid-arrangement-of-pairs,"Array, Depth-First Search, Graph Theory, Eulerian Circuit"
MEDIUM,Capacity To Ship Packages Within D Days,47.4,0.007414279797019523,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Find the Winner of an Array Game,47.4,0.0056861634518898425,https://leetcode.com/problems/find-the-winner-of-an-array-game,"Array, Simulation"
