Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,80.1,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,First Unique Character in a String,78.6,0.006571211647968752,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,76.9,0.0031024074824220183,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,High Five,75.8,0.0074194989191088455,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Minimum Path Sum,65.6,0.0068413296164418465,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,LRU Cache,64.9,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,63.5,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Container With Most Water,61.9,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Robot Bounded In Circle,61.9,0.005657173229574539,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Find the Winner of the Circular Game,60.2,0.00822800352772101,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Merge Intervals,59.3,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Decode Ways,59.3,0.0038134721001943784,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Group Anagrams,58.3,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,String Compression,58.3,0.006021189690848487,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Search in Rotated Sorted Array,57.2,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Find Minimum in Rotated Sorted Array,57.2,0.005486456691996549,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,56.1,0.006459346033141788,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Best Time to Buy and Sell Stock II,54.9,0.0071240027110163985,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Two Sum,53.6,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,53.6,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find the Minimum Amount of Time to Brew Potions,50.7,0.006267597056948195,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions,"Array, Simulation, Prefix Sum"
EASY,Robot Return to Origin,49.1,0.007814395447949426,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
MEDIUM,Kth Largest Element in an Array,49.1,0.006903915321782457,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Permutations III,49.1,0.008629242819843343,https://leetcode.com/problems/permutations-iii,"Array, Backtracking"
MEDIUM,Maximum Subarray,47.3,0.005347372327007454,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Design HashMap,47.3,0.00666603257902495,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Pascal's Triangle,45.3,0.007908882221886335,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Product of Array Except Self,45.3,0.0069001473000757365,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Sliding Window Maximum,45.3,0.0048890433842093085,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Construct Smallest Number From DI String,45.3,0.008555907650520597,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
MEDIUM,Palindromic Substrings,45.3,0.007292139348598201,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
