Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,80.4,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,First Unique Character in a String,78.0,0.006571211647968752,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,77.1,0.0031024074824220183,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,High Five,76.2,0.0074194989191088455,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Minimum Path Sum,67.1,0.0068413296164418465,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Container With Most Water,64.8,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,LRU Cache,64.8,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,63.6,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,62.2,0.006021189690848487,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Merge Intervals,59.9,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Robot Bounded In Circle,59.9,0.005657173229574539,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Find the Winner of the Circular Game,59.9,0.00822800352772101,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Group Anagrams,58.2,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Decode Ways,58.2,0.0038134721001943784,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,57.2,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,57.2,0.006459346033141788,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,55.2,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find Minimum in Rotated Sorted Array,55.2,0.005486456691996549,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Knight Probability in Chessboard,55.2,0.005712383123453329,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
MEDIUM,Better Compression of String,55.2,0.0075275,https://leetcode.com/problems/better-compression-of-string,"Hash Table, String, Sorting, Counting"
EASY,Two Sum,52.9,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
