Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,72.7,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,68.2,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Palindrome Number,66.4,0.006069292450980635,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,66.4,0.0039301112894111895,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Reverse Integer,66.4,0.003204599939265856,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Add Two Numbers,64.4,0.004870063729877811,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Concatenation of Array,64.4,0.009021893627453877,https://leetcode.com/problems/concatenation-of-array,"Array, Simulation"
HARD,Median of Two Sorted Arrays,62.3,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Maximum Subarray,62.3,0.005347372327007454,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,59.9,0.003804637344946908,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,59.9,0.00443654752168454,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,57.2,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,54.0,0.006679187279950676,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Longest Consecutive Sequence,54.0,0.004714857584942529,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Remove Duplicates from Sorted Array,54.0,0.006308036368825716,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Merge Two Sorted Lists,54.0,0.006845214031240379,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Majority Element,54.0,0.006637444277253712,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,N-Queens,54.0,0.007584675820107154,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,"Pow(x, n)",54.0,0.0038842139838590893,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Spiral Matrix,50.3,0.005707369423514399,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Split Array Largest Sum,50.3,0.006072016265276123,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Group Anagrams,50.3,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Container With Most Water,50.3,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Sqrt(x),50.3,0.004196745652843808,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Rotate Array,50.3,0.004510328902147407,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Number of ZigZag Arrays I,50.3,0.005096122671982133,https://leetcode.com/problems/number-of-zigzag-arrays-i,"Dynamic Programming, Prefix Sum"
EASY,Merge Sorted Array,45.8,0.005509624213749104,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Create Hello World Function,45.8,0.008191722901970974,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Search in Rotated Sorted Array,45.8,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Logger Rate Limiter,45.8,0.007685514245352842,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Longest Common Prefix,45.8,0.0047781553156225984,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Longest Increasing Subsequence,45.8,0.0059574459582230265,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
