Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,78.0,0.004870063729877811,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,74.2,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Merge Sorted Array,74.2,0.005509624213749104,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,73.9,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Create Hello World Function,73.3,0.008191722901970974,https://leetcode.com/problems/create-hello-world-function,
EASY,Longest Common Prefix,73.2,0.0047781553156225984,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Merge Strings Alternately,72.7,0.008210740203643967,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Palindrome Number,72.3,0.006069292450980635,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,3Sum,72.0,0.0039301112894111895,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,71.8,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,71.3,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,69.9,0.003804637344946908,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Recyclable and Low Fat Products,69.5,0.008862016715202311,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Longest Consecutive Sequence,68.6,0.004714857584942529,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,66.8,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Climbing Stairs,65.9,0.005415752179028517,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Majority Element,65.8,0.006637444277253712,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Number of Islands,65.6,0.006459346033141788,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Roman to Integer,65.5,0.006679187279950676,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Valid Parentheses,65.2,0.00443654752168454,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Remove Duplicates from Sorted Array,65.0,0.006308036368825716,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Merge Intervals,65.0,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,64.9,0.005347372327007454,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Reverse Integer,64.7,0.003204599939265856,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Subarray Sum Equals K,63.6,0.00475665051610676,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Merge Two Sorted Lists,62.1,0.006845214031240379,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Generate Parentheses,61.1,0.007881144468112233,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Next Permutation,60.9,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Add Two Integers,60.1,0.008798526626462626,https://leetcode.com/problems/add-two-integers,Math
HARD,Minimum Number of Increments on Subarrays to Form a Target Array,60.0,0.00782226430407142,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
MEDIUM,Meeting Rooms II,59.6,0.0052723015168995736,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Reverse Linked List,59.5,0.00807083235381698,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Remove Element,59.0,0.0061975145775494175,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Decode String,58.6,0.006278195834936435,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Pascal's Triangle,58.6,0.007908882221886335,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,58.4,0.005707369423514399,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Move Zeroes,58.3,0.006398866435965072,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Viewers Turned Streamers,58.1,0.0042935251798561155,https://leetcode.com/problems/viewers-turned-streamers,Database
MEDIUM,Search in Rotated Sorted Array,58.0,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Largest Rectangle in Histogram,58.0,0.005018771542638927,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Single Number,57.8,0.00778628809974759,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,4Sum,57.5,0.0040905241256708694,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Split Array Largest Sum,57.5,0.006072016265276123,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Jump Game,57.3,0.004106514885216719,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Koko Eating Bananas,57.2,0.005015268911300806,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,N-Queens,56.8,0.007584675820107154,https://leetcode.com/problems/n-queens,"Array, Backtracking"
EASY,Find the Index of the First Occurrence in a String,56.6,0.004682791470617724,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Find Peak Element,56.5,0.004703008718020711,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Rotate Array,56.3,0.004510328902147407,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Letter Combinations of a Phone Number,56.3,0.006627781948066577,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,LRU Cache,55.9,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Search Insert Position,55.9,0.005151845661709603,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,House Robber,55.8,0.00533253012083387,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Image,55.6,0.008027350598876217,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Top K Frequent Elements,55.6,0.006670456880930464,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Zigzag Conversion,54.6,0.005438139498169691,https://leetcode.com/problems/zigzag-conversion,String
EASY,Happy Number,54.6,0.00598304647615466,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Valid Anagram,54.6,0.00682651912457363,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Group Anagrams,54.5,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Largest Element in an Array,54.5,0.006903915321782457,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Set Matrix Zeroes,53.9,0.006317500484451821,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Single Element in a Sorted Array,53.9,0.005930894018168744,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Plus One,53.4,0.0050116622768606525,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Add Binary,53.4,0.005817440083330957,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Sort Colors,53.4,0.006987529856330535,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Max Consecutive Ones,53.2,0.0065449000076365695,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Maximal Square,53.2,0.005047492406294395,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Logger Rate Limiter,53.2,0.007685514245352842,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,"Pow(x, n)",53.0,0.0038842139838590893,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Product of Array Except Self,53.0,0.0069001473000757365,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Longest Repeating Character Replacement,52.8,0.005992791974457368,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,52.6,0.0048890433842093085,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Increasing Subsequence,52.6,0.0059574459582230265,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Russian Doll Envelopes,52.4,0.003797091606661151,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,52.1,0.004912156631020668,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Remove Nth Node From End of List,51.9,0.005188573100407975,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Find Median from Data Stream,51.9,0.005463248886694082,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Rotting Oranges,51.9,0.005886900775571508,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Subsets,51.2,0.008247547552426068,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Course Schedule,51.2,0.005164931577284526,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Maximal Rectangle,51.0,0.005907188360844662,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
EASY,Power of Two,51.0,0.005021373916071618,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
HARD,Regular Expression Matching,51.0,0.003112612659943627,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Unique Paths,51.0,0.006695965174698262,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Merge k Sorted Lists,50.7,0.00598176184741274,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Number of Visible People in a Queue,50.7,0.007325146154223353,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
EASY,Binary Search,50.5,0.006102391115547065,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Valid Palindrome,50.5,0.0053588187874064495,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
HARD,Basic Calculator,50.5,0.0046965815089286414,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Count Number of Trapezoids II,50.5,0.003986189622370348,https://leetcode.com/problems/count-number-of-trapezoids-ii,"Array, Hash Table, Math, Geometry"
HARD,Binary Tree Maximum Path Sum,49.9,0.004242997314038262,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Contains Duplicate,49.9,0.0064458825469879966,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Zero Array Transformation I,49.9,0.005457932961857609,https://leetcode.com/problems/zero-array-transformation-i,"Array, Prefix Sum"
