Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.0057688993596459025,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,77.7,0.004870063729877811,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,73.9,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,73.9,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Longest Common Prefix,73.3,0.0047781553156225984,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Palindrome Number,72.7,0.006069292450980635,https://leetcode.com/problems/palindrome-number,Math
EASY,Merge Sorted Array,72.7,0.005509624213749104,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,71.9,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,71.8,0.0039301112894111895,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,71.8,0.005696316690039362,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Create Hello World Function,71.7,0.008191722901970974,https://leetcode.com/problems/create-hello-world-function,
EASY,Merge Strings Alternately,70.6,0.008210740203643967,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,70.1,0.003804637344946908,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,69.1,0.004714857584942529,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Recyclable and Low Fat Products,67.5,0.008862016715202311,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Container With Most Water,67.5,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Parentheses,66.2,0.00443654752168454,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Majority Element,66.2,0.006637444277253712,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
