Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Cost For Tickets,100.0,0.006743618708501535,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Adding Two Negabinary Numbers,100.0,0.0038033797284025873,https://leetcode.com/problems/adding-two-negabinary-numbers,"Array, Math"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,100.0,0.004842712392829306,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Reconstruct a 2-Row Binary Matrix,100.0,0.004908101605774073,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
MEDIUM,Accounts Merge,78.3,0.006152843460256589,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
EASY,Two Sum,71.5,0.005768897427264573,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Simplify Path,71.5,0.005080333243082499,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Daily Temperatures,71.5,0.006882760401312532,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,House Robber,71.5,0.005332527590014431,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Valid Parentheses,62.0,0.004436548288513215,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Steps to Reduce a Number in Binary Representation to One,62.0,0.006374184174282618,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation, Simulation"
MEDIUM,Subarray Sum Equals K,62.0,0.004756651589406008,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Jump Game II,62.0,0.004303501425647274,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Repeated Substring Pattern,62.0,0.004841044107743328,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
