Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211655112569329,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Remove All Adjacent Duplicates In String,91.1,0.007345644717728164,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,89.8,0.004509751946702688,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Vowel Spellchecker,88.5,0.006142481103560726,https://leetcode.com/problems/vowel-spellchecker,"Array, Hash Table, String"
MEDIUM,Insert Delete GetRandom O(1),88.5,0.005540960853297237,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Remove All Adjacent Duplicates in String II,87.0,0.006146402027556754,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
EASY,Climbing Stairs,83.8,0.00541575230890925,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Repeated DNA Sequences,80.0,0.005350400659271548,https://leetcode.com/problems/repeated-dna-sequences,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
EASY,Sqrt(x),77.8,0.004196743166950892,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Generate Parentheses,75.3,0.00788114503207261,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Perfect Number,72.5,0.0049168937734010605,https://leetcode.com/problems/perfect-number,Math
EASY,Logger Rate Limiter,72.5,0.007685514245352842,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Sum of Left Leaves,72.5,0.006283537849346543,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Search Insert Position,65.5,0.005151843450837963,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Non-overlapping Intervals,65.5,0.0057283612308659,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Evaluate Reverse Polish Notation,60.8,0.005803705563159828,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Two Best Non-Overlapping Events,60.8,0.006399151481183244,https://leetcode.com/problems/two-best-non-overlapping-events,"Array, Binary Search, Dynamic Programming, Sorting, Heap (Priority Queue)"
HARD,Word Break II,54.8,0.005572762889702758,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Word Search,54.8,0.004758744308172841,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Implement Trie (Prefix Tree),54.8,0.006966358233603492,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Check If a String Contains All Binary Codes of Size K,54.8,0.006158865995825155,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,"Hash Table, String, Bit Manipulation, Rolling Hash, Hash Function"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,54.8,0.004041874892297088,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
MEDIUM,Word Break,46.4,0.0049581113966863,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Number of Islands,46.4,0.006459347828389269,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Special Binary String,46.4,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Decode the Slanted Ciphertext,46.4,0.00675939332394274,https://leetcode.com/problems/decode-the-slanted-ciphertext,"String, Simulation"
MEDIUM,Maximum Palindromes After Operations,46.4,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
HARD,Trapping Rain Water,46.4,0.006761506594790268,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Unique Paths,46.4,0.006695966698159184,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Recover a Tree From Preorder Traversal,46.4,0.008324317074261189,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,"String, Tree, Depth-First Search, Binary Tree"
