Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768897427264573,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,83.5,0.004436548288513215,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,78.3,0.0039299485063426795,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Merge Sorted Array,78.3,0.005509624117423022,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,78.3,0.005358820425842554,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,71.4,0.0056963183901500266,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,61.8,0.0039301104402954205,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Reverse String,61.8,0.008093587149611708,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Second Highest Salary,61.8,0.004735462138026845,https://leetcode.com/problems/second-highest-salary,Database
HARD,Department Top Three Salaries,61.8,0.006080141376010303,https://leetcode.com/problems/department-top-three-salaries,Database
MEDIUM,Longest Palindromic Substring,61.8,0.0038046377204995502,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Palindromic Substrings,61.8,0.007292139348598201,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Reverse Words in a String,61.8,0.005681676349342597,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Maximum Subarray,61.8,0.005347373795326877,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Missing Number,61.8,0.007219759069178394,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Minimum Size Subarray Sum,61.8,0.005199890806434431,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
