Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Symmetric Coordinates,100.0,0.0041110410094637225,https://leetcode.com/problems/symmetric-coordinates,Database
EASY,Pascal's Triangle,74.0,0.007908892627293197,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Next Permutation,74.0,0.004551813013689812,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Find the Integer Added to Array I,65.2,0.008297872340425531,https://leetcode.com/problems/find-the-integer-added-to-array-i,Array
MEDIUM,Find the Integer Added to Array II,65.2,0.0033076760729493847,https://leetcode.com/problems/find-the-integer-added-to-array-ii,"Array, Two Pointers, Sorting, Enumeration"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,65.2,0.004041874892297088,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
MEDIUM,Maximum Total Reward Using Operations I,65.2,0.003102704300280774,https://leetcode.com/problems/maximum-total-reward-using-operations-i,"Array, Dynamic Programming, Bit Manipulation, Sorting"
HARD,Maximum Total Reward Using Operations II,65.2,0.0021987966784346876,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,"Array, Dynamic Programming, Bit Manipulation, Sorting"
MEDIUM,Shortest Subarray With OR at Least K II,65.2,0.005023076614359674,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Array, Bit Manipulation, Sliding Window"
EASY,Shortest Subarray With OR at Least K I,65.2,0.004477773482798608,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,"Array, Bit Manipulation, Sliding Window"
HARD,Construct String with Minimum Cost,65.2,0.0019003416856492028,https://leetcode.com/problems/construct-string-with-minimum-cost,"Array, String, Dynamic Programming, Suffix Array"
MEDIUM,Right Triangles,65.2,0.004887858161154951,https://leetcode.com/problems/right-triangles,"Array, Hash Table, Math, Combinatorics, Counting"
MEDIUM,Next Greater Element III,65.2,0.003540402177993495,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Zigzag Conversion,65.2,0.005438154700365987,https://leetcode.com/problems/zigzag-conversion,String
EASY,Valid Parentheses,65.2,0.004436550427825939,https://leetcode.com/problems/valid-parentheses,"String, Stack"
