Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Right Triangles,100.0,0.004887858161154951,https://leetcode.com/problems/right-triangles,"Array, Hash Table, Math, Combinatorics, Counting"
EASY,Find the Integer Added to Array I,97.7,0.008297872340425531,https://leetcode.com/problems/find-the-integer-added-to-array-i,Array
MEDIUM,Find the Integer Added to Array II,97.7,0.0033076760729493847,https://leetcode.com/problems/find-the-integer-added-to-array-ii,"Array, Two Pointers, Sorting, Enumeration"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,97.7,0.004041874892297088,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
HARD,Construct String with Minimum Cost,97.7,0.0019003416856492028,https://leetcode.com/problems/construct-string-with-minimum-cost,"Array, String, Dynamic Programming, Suffix Array"
MEDIUM,Maximum Total Reward Using Operations I,97.7,0.003102704300280774,https://leetcode.com/problems/maximum-total-reward-using-operations-i,"Array, Dynamic Programming, Bit Manipulation, Sorting"
HARD,Maximum Total Reward Using Operations II,97.7,0.0021987966784346876,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,"Array, Dynamic Programming, Bit Manipulation, Sorting"
MEDIUM,Shortest Subarray With OR at Least K II,97.7,0.005023076614359674,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Array, Bit Manipulation, Sliding Window"
EASY,Shortest Subarray With OR at Least K I,97.7,0.004477773482798608,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Symmetric Coordinates,97.7,0.0041110410094637225,https://leetcode.com/problems/symmetric-coordinates,Database
MEDIUM,Delayed Count of Equal Elements,92.5,0.007862595419847329,https://leetcode.com/problems/delayed-count-of-equal-elements,"Array, Hash Table, Counting"
EASY,Pascal's Triangle,69.3,0.007908892627293197,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Next Permutation,69.3,0.004551813013689812,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Next Greater Element III,59.7,0.003540402177993495,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Zigzag Conversion,59.7,0.005438154700365987,https://leetcode.com/problems/zigzag-conversion,String
EASY,Valid Parentheses,59.7,0.004436550427825939,https://leetcode.com/problems/valid-parentheses,"String, Stack"
